replicate,pop,gen,prefS,Fis,selModel
2,STM,14,0.2,-0.1136,hetIncompLocusPref
2,STH,14,0.2,-0.1395,hetIncompLocusPref
2,STL,15,0.2,-0.0652,hetIncompLocusPref
2,STM,15,0.2,-0.1136,hetIncompLocusPref
2,STH,15,0.2,-0.074,hetIncompLocusPref
2,STL,16,0.2,-0.0769,hetIncompLocusPref
2,STM,16,0.2,-0.1264,hetIncompLocusPref
2,STH,16,0.2,-0.1136,hetIncompLocusPref
2,STL,17,0.2,-0.074,hetIncompLocusPref
2,STM,17,0.2,-0.0889,hetIncompLocusPref
2,STH,17,0.2,-0.1395,hetIncompLocusPref
2,STL,18,0.2,-0.0769,hetIncompLocusPref
2,STM,18,0.2,-0.0652,hetIncompLocusPref
2,STH,18,0.2,-0.1264,hetIncompLocusPref
2,STL,19,0.2,-0.0538,hetIncompLocusPref
2,STM,19,0.2,-0.0426,hetIncompLocusPref
2,STH,19,0.2,-0.1136,hetIncompLocusPref
2,STL,20,0.2,-0.1264,hetIncompLocusPref
2,STM,20,0.2,-0.0208,hetIncompLocusPref
2,STH,20,0.2,-0.1264,hetIncompLocusPref
3,STL,1,0.2,-1,hetIncompLocusPref
3,STM,1,0.2,-1,hetIncompLocusPref
3,STH,1,0.2,-1,hetIncompLocusPref
3,STL,2,0.2,-0.2775,hetIncompLocusPref
3,STM,2,0.2,-0.5556,hetIncompLocusPref
3,STH,2,0.2,-0.3803,hetIncompLocusPref
3,STL,3,0.2,-0.1557,hetIncompLocusPref
3,STM,3,0.2,-0.4177,hetIncompLocusPref
3,STH,3,0.2,-0.2115,hetIncompLocusPref
3,STL,4,0.2,-0.0095,hetIncompLocusPref
3,STM,4,0.2,-0.11,hetIncompLocusPref
3,STH,4,0.2,-0.1354,hetIncompLocusPref
3,STL,5,0.2,-0.1529,hetIncompLocusPref
3,STM,5,0.2,-0.3067,hetIncompLocusPref
3,STH,5,0.2,0.0134,hetIncompLocusPref
3,STL,6,0.2,-0.1529,hetIncompLocusPref
3,STM,6,0.2,-0.1951,hetIncompLocusPref
3,STH,6,0.2,-0.1395,hetIncompLocusPref
3,STL,7,0.2,-0.1807,hetIncompLocusPref
3,STM,7,0.2,-0.225,hetIncompLocusPref
3,STH,7,0.2,-0.0889,hetIncompLocusPref
3,STL,8,0.2,-0.1011,hetIncompLocusPref
3,STM,8,0.2,-0.053,hetIncompLocusPref
3,STH,8,0.2,-0.0889,hetIncompLocusPref
3,STL,9,0.2,-0.0889,hetIncompLocusPref
3,STM,9,0.2,-0.1011,hetIncompLocusPref
3,STH,9,0.2,-0.0769,hetIncompLocusPref
3,STL,10,0.2,-0.1529,hetIncompLocusPref
3,STM,10,0.2,-0.1667,hetIncompLocusPref
3,STH,10,0.2,-0.0769,hetIncompLocusPref
3,STL,11,0.2,-0.1529,hetIncompLocusPref
3,STM,11,0.2,-0.1136,hetIncompLocusPref
3,STH,11,0.2,-0.0652,hetIncompLocusPref
3,STL,12,0.2,-0.0889,hetIncompLocusPref
3,STM,12,0.2,-0.0316,hetIncompLocusPref
3,STH,12,0.2,-0.0426,hetIncompLocusPref
3,STL,13,0.2,-0.0889,hetIncompLocusPref
3,STM,13,0.2,-0.0538,hetIncompLocusPref
3,STH,13,0.2,-0.0426,hetIncompLocusPref
3,STL,14,0.2,0.3,hetIncompLocusPref
3,STM,14,0.2,0,hetIncompLocusPref
3,STH,14,0.2,-0.0652,hetIncompLocusPref
3,STL,15,0.2,-0.0316,hetIncompLocusPref
3,STM,15,0.2,0,hetIncompLocusPref
3,STH,15,0.2,-0.0889,hetIncompLocusPref
3,STL,16,0.2,-0.0208,hetIncompLocusPref
