replicate,pop,gen,prefS,H0,selModel
2,STH,16,0.8,0.52,hetIncompLocusPref
2,STL,17,0.8,0.46,hetIncompLocusPref
2,STM,17,0.8,0.6,hetIncompLocusPref
2,STH,17,0.8,0.48,hetIncompLocusPref
2,STL,18,0.8,0.58,hetIncompLocusPref
2,STM,18,0.8,0.54,hetIncompLocusPref
2,STH,18,0.8,0.54,hetIncompLocusPref
2,STL,19,0.8,0.5,hetIncompLocusPref
2,STM,19,0.8,0.5,hetIncompLocusPref
2,STH,19,0.8,0.48,hetIncompLocusPref
2,STL,20,0.8,0.62,hetIncompLocusPref
2,STM,20,0.8,0.52,hetIncompLocusPref
2,STH,20,0.8,0.5,hetIncompLocusPref
3,STL,1,0.8,1,hetIncompLocusPref
3,STM,1,0.8,1,hetIncompLocusPref
3,STH,1,0.8,1,hetIncompLocusPref
3,STL,2,0.8,0.68,hetIncompLocusPref
3,STM,2,0.8,0.7,hetIncompLocusPref
3,STH,2,0.8,0.74,hetIncompLocusPref
3,STL,3,0.8,0.66,hetIncompLocusPref
3,STM,3,0.8,0.4,hetIncompLocusPref
3,STH,3,0.8,0.7,hetIncompLocusPref
3,STL,4,0.8,0.62,hetIncompLocusPref
3,STM,4,0.8,0.52,hetIncompLocusPref
3,STH,4,0.8,0.56,hetIncompLocusPref
3,STL,5,0.8,0.62,hetIncompLocusPref
3,STM,5,0.8,0.52,hetIncompLocusPref
3,STH,5,0.8,0.54,hetIncompLocusPref
3,STL,6,0.8,0.62,hetIncompLocusPref
3,STM,6,0.8,0.5,hetIncompLocusPref
3,STH,6,0.8,0.46,hetIncompLocusPref
3,STL,7,0.8,0.54,hetIncompLocusPref
3,STM,7,0.8,0.62,hetIncompLocusPref
3,STH,7,0.8,0.42,hetIncompLocusPref
3,STL,8,0.8,0.56,hetIncompLocusPref
3,STM,8,0.8,0.52,hetIncompLocusPref
3,STH,8,0.8,0.38,hetIncompLocusPref
3,STL,9,0.8,0.62,hetIncompLocusPref
3,STM,9,0.8,0.44,hetIncompLocusPref
3,STH,9,0.8,0.46,hetIncompLocusPref
3,STL,10,0.8,0.52,hetIncompLocusPref
3,STM,10,0.8,0.46,hetIncompLocusPref
3,STH,10,0.8,0.4,hetIncompLocusPref
3,STL,11,0.8,0.56,hetIncompLocusPref
3,STM,11,0.8,0.36,hetIncompLocusPref
3,STH,11,0.8,0.44,hetIncompLocusPref
3,STL,12,0.8,0.62,hetIncompLocusPref
3,STM,12,0.8,0.34,hetIncompLocusPref
3,STH,12,0.8,0.54,hetIncompLocusPref
3,STL,13,0.8,0.52,hetIncompLocusPref
3,STM,13,0.8,0.34,hetIncompLocusPref
3,STH,13,0.8,0.46,hetIncompLocusPref
3,STL,14,0.8,0.44,hetIncompLocusPref
3,STM,14,0.8,0.44,hetIncompLocusPref
3,STH,14,0.8,0.62,hetIncompLocusPref
3,STL,15,0.8,0.46,hetIncompLocusPref
3,STM,15,0.8,0.5,hetIncompLocusPref
3,STH,15,0.8,0.5,hetIncompLocusPref
3,STL,16,0.8,0.48,hetIncompLocusPref
3,STM,16,0.8,0.58,hetIncompLocusPref
3,STH,16,0.8,0.48,hetIncompLocusPref
3,STL,17,0.8,0.44,hetIncompLocusPref
3,STM,17,0.8,0.52,hetIncompLocusPref
3,STH,17,0.8,0.62,hetIncompLocusPref
3,STL,18,0.8,0.46,hetIncompLocusPref
3,STM,18,0.8,0.38,hetIncompLocusPref
3,STH,18,0.8,0.56,hetIncompLocusPref
3,STL,19,0.8,0.6,hetIncompLocusPref
3,STM,19,0.8,0.52,hetIncompLocusPref
3,STH,19,0.8,0.68,hetIncompLocusPref
3,STL,20,0.8,0.58,hetIncompLocusPref
3,STM,20,0.8,0.52,hetIncompLocusPref
3,STH,20,0.8,0.62,hetIncompLocusPref
4,STL,1,0.8,1,hetIncompLocusPref
4,STM,1,0.8,1,hetIncompLocusPref
4,STH,1,0.8,1,hetIncompLocusPref
4,STL,2,0.8,0.58,hetIncompLocusPref
4,STM,2,0.8,0.7,hetIncompLocusPref
4,STH,2,0.8,0.6,hetIncompLocusPref
4,STL,3,0.8,0.46,hetIncompLocusPref
4,STM,3,0.8,0.52,hetIncompLocusPref
4,STH,3,0.8,0.64,hetIncompLocusPref
4,STL,4,0.8,0.42,hetIncompLocusPref
4,STM,4,0.8,0.5,hetIncompLocusPref
4,STH,4,0.8,0.48,hetIncompLocusPref
4,STL,5,0.8,0.54,hetIncompLocusPref
4,STM,5,0.8,0.5,hetIncompLocusPref
4,STH,5,0.8,0.5,hetIncompLocusPref
4,STL,6,0.8,0.56,hetIncompLocusPref
4,STM,6,0.8,0.48,hetIncompLocusPref
4,STH,6,0.8,0.52,hetIncompLocusPref
4,STL,7,0.8,0.66,hetIncompLocusPref
4,STM,7,0.8,0.44,hetIncompLocusPref
4,STH,7,0.8,0.68,hetIncompLocusPref
4,STL,8,0.8,0.62,hetIncompLocusPref
4,STM,8,0.8,0.42,hetIncompLocusPref
4,STH,8,0.8,0.56,hetIncompLocusPref
4,STL,9,0.8,0.54,hetIncompLocusPref
4,STM,9,0.8,0.44,hetIncompLocusPref
4,STH,9,0.8,0.46,hetIncompLocusPref
4,STL,10,0.8,0.52,hetIncompLocusPref
4,STM,10,0.8,0.52,hetIncompLocusPref
4,STH,10,0.8,0.56,hetIncompLocusPref
4,STL,11,0.8,0.56,hetIncompLocusPref
4,STM,11,0.8,0.52,hetIncompLocusPref
4,STH,11,0.8,0.38,hetIncompLocusPref
4,STL,12,0.8,0.62,hetIncompLocusPref
4,STM,12,0.8,0.4,hetIncompLocusPref
4,STH,12,0.8,0.48,hetIncompLocusPref
4,STL,13,0.8,0.58,hetIncompLocusPref
4,STM,13,0.8,0.44,hetIncompLocusPref
4,STH,13,0.8,0.42,hetIncompLocusPref
4,STL,14,0.8,0.48,hetIncompLocusPref
4,STM,14,0.8,0.44,hetIncompLocusPref
4,STH,14,0.8,0.52,hetIncompLocusPref
4,STL,15,0.8,0.4,hetIncompLocusPref
4,STM,15,0.8,0.52,hetIncompLocusPref
4,STH,15,0.8,0.52,hetIncompLocusPref
4,STL,16,0.8,0.48,hetIncompLocusPref
4,STM,16,0.8,0.56,hetIncompLocusPref
4,STH,16,0.8,0.54,hetIncompLocusPref
4,STL,17,0.8,0.56,hetIncompLocusPref
4,STM,17,0.8,0.46,hetIncompLocusPref
4,STH,17,0.8,0.5,hetIncompLocusPref
4,STL,18,0.8,0.64,hetIncompLocusPref
4,STM,18,0.8,0.44,hetIncompLocusPref
4,STH,18,0.8,0.52,hetIncompLocusPref
4,STL,19,0.8,0.54,hetIncompLocusPref
4,STM,19,0.8,0.52,hetIncompLocusPref
4,STH,19,0.8,0.58,hetIncompLocusPref
4,STL,20,0.8,0.52,hetIncompLocusPref
4,STM,20,0.8,0.46,hetIncompLocusPref
4,STH,20,0.8,0.5,hetIncompLocusPref
5,STL,1,0.8,1,hetIncompLocusPref
5,STM,1,0.8,1,hetIncompLocusPref
5,STH,1,0.8,1,hetIncompLocusPref
5,STL,2,0.8,0.78,hetIncompLocusPref
5,STM,2,0.8,0.68,hetIncompLocusPref
5,STH,2,0.8,0.72,hetIncompLocusPref
5,STL,3,0.8,0.66,hetIncompLocusPref
5,STM,3,0.8,0.64,hetIncompLocusPref
5,STH,3,0.8,0.66,hetIncompLocusPref
5,STL,4,0.8,0.66,hetIncompLocusPref
5,STM,4,0.8,0.56,hetIncompLocusPref
5,STH,4,0.8,0.62,hetIncompLocusPref
5,STL,5,0.8,0.52,hetIncompLocusPref
5,STM,5,0.8,0.56,hetIncompLocusPref
5,STH,5,0.8,0.64,hetIncompLocusPref
5,STL,6,0.8,0.6,hetIncompLocusPref
5,STM,6,0.8,0.4,hetIncompLocusPref
