replicate,pop,gen,prefS,Fis,selModel
2,STM,15,0.91,-0.2564,disIncompLocusPref
2,STH,15,0.91,-0.2727,disIncompLocusPref
2,STL,16,0.91,-0.225,disIncompLocusPref
2,STM,16,0.91,-0.2405,disIncompLocusPref
2,STH,16,0.91,-0.2895,disIncompLocusPref
2,STL,17,0.91,-0.2895,disIncompLocusPref
2,STM,17,0.91,-0.2895,disIncompLocusPref
2,STH,17,0.91,-0.2895,disIncompLocusPref
2,STL,18,0.91,-0.053,disIncompLocusPref
2,STM,18,0.91,-0.2895,disIncompLocusPref
2,STH,18,0.91,-0.3803,disIncompLocusPref
2,STL,19,0.91,-0.3425,disIncompLocusPref
2,STM,19,0.91,-0.3067,disIncompLocusPref
2,STH,19,0.91,-0.3243,disIncompLocusPref
2,STL,20,0.91,-0.3243,disIncompLocusPref
2,STM,20,0.91,-0.2405,disIncompLocusPref
2,STH,20,0.91,-0.3243,disIncompLocusPref
3,STL,1,0.91,-1,disIncompLocusPref
3,STM,1,0.91,-1,disIncompLocusPref
3,STH,1,0.91,-1,disIncompLocusPref
3,STL,2,0.91,-0.1807,disIncompLocusPref
3,STM,2,0.91,-0.435,disIncompLocusPref
3,STH,2,0.91,-0.4073,disIncompLocusPref
3,STL,3,0.91,-0.2727,disIncompLocusPref
3,STM,3,0.91,-0.259,disIncompLocusPref
3,STH,3,0.91,-0.3469,disIncompLocusPref
3,STL,4,0.91,-0.2405,disIncompLocusPref
3,STM,4,0.91,-0.3425,disIncompLocusPref
3,STH,4,0.91,-0.4848,disIncompLocusPref
3,STL,5,0.91,-0.2727,disIncompLocusPref
3,STM,5,0.91,-0.3611,disIncompLocusPref
3,STH,5,0.91,-0.3243,disIncompLocusPref
3,STL,6,0.91,-0.2405,disIncompLocusPref
3,STM,6,0.91,-0.3425,disIncompLocusPref
3,STH,6,0.91,-0.2564,disIncompLocusPref
3,STL,7,0.91,-0.3611,disIncompLocusPref
3,STM,7,0.91,-0.3425,disIncompLocusPref
3,STH,7,0.91,-0.3067,disIncompLocusPref
3,STL,8,0.91,-0.4203,disIncompLocusPref
3,STM,8,0.91,-0.3803,disIncompLocusPref
3,STH,8,0.91,-0.2895,disIncompLocusPref
3,STL,9,0.91,-0.2895,disIncompLocusPref
3,STM,9,0.91,-0.3067,disIncompLocusPref
3,STH,9,0.91,-0.4203,disIncompLocusPref
3,STL,10,0.91,-0.2099,disIncompLocusPref
3,STM,10,0.91,-0.1807,disIncompLocusPref
3,STH,10,0.91,-0.3067,disIncompLocusPref
3,STL,11,0.91,-0.1951,disIncompLocusPref
3,STM,11,0.91,-0.2895,disIncompLocusPref
3,STH,11,0.91,-0.1964,disIncompLocusPref
3,STL,12,0.91,-0.2727,disIncompLocusPref
3,STM,12,0.91,-0.2727,disIncompLocusPref
3,STH,12,0.91,-0.3803,disIncompLocusPref
3,STL,13,0.91,-0.3803,disIncompLocusPref
3,STM,13,0.91,-0.3425,disIncompLocusPref
3,STH,13,0.91,-0.3243,disIncompLocusPref
3,STL,14,0.91,-0.2895,disIncompLocusPref
3,STM,14,0.91,-0.2405,disIncompLocusPref
3,STH,14,0.91,-0.225,disIncompLocusPref
3,STL,15,0.91,-0.1354,disIncompLocusPref
3,STM,15,0.91,-0.2895,disIncompLocusPref
3,STH,15,0.91,-0.2564,disIncompLocusPref
3,STL,16,0.91,-0.2405,disIncompLocusPref
3,STM,16,0.91,-0.3243,disIncompLocusPref
3,STH,16,0.91,-0.2727,disIncompLocusPref
3,STL,17,0.91,-0.3611,disIncompLocusPref
3,STM,17,0.91,-0.3611,disIncompLocusPref
3,STH,17,0.91,-0.3425,disIncompLocusPref
3,STL,18,0.91,-0.3611,disIncompLocusPref
3,STM,18,0.91,-0.3611,disIncompLocusPref
3,STH,18,0.91,-0.3803,disIncompLocusPref
3,STL,19,0.91,-0.3803,disIncompLocusPref
3,STM,19,0.91,-0.4412,disIncompLocusPref
3,STH,19,0.91,-0.2564,disIncompLocusPref
3,STL,20,0.91,-0.3425,disIncompLocusPref
3,STM,20,0.91,-0.2895,disIncompLocusPref
3,STH,20,0.91,-0.2564,disIncompLocusPref
4,STL,1,0.91,-1,disIncompLocusPref
4,STM,1,0.91,-1,disIncompLocusPref
4,STH,1,0.91,-1,disIncompLocusPref
4,STL,2,0.91,-0.5207,disIncompLocusPref
4,STM,2,0.91,-0.5207,disIncompLocusPref
4,STH,2,0.91,-0.4177,disIncompLocusPref
4,STL,3,0.91,-0.3425,disIncompLocusPref
4,STM,3,0.91,-0.2405,disIncompLocusPref
4,STH,3,0.91,-0.4203,disIncompLocusPref
4,STL,4,0.91,-0.225,disIncompLocusPref
4,STM,4,0.91,-0.2564,disIncompLocusPref
4,STH,4,0.91,-0.2564,disIncompLocusPref
4,STL,5,0.91,-0.2895,disIncompLocusPref
4,STM,5,0.91,-0.2895,disIncompLocusPref
4,STH,5,0.91,-0.3067,disIncompLocusPref
4,STL,6,0.91,-0.2727,disIncompLocusPref
4,STM,6,0.91,-0.2895,disIncompLocusPref
4,STH,6,0.91,-0.2564,disIncompLocusPref
4,STL,7,0.91,-0.3425,disIncompLocusPref
4,STM,7,0.91,-0.4,disIncompLocusPref
4,STH,7,0.91,-0.3067,disIncompLocusPref
4,STL,8,0.91,-0.2405,disIncompLocusPref
4,STM,8,0.91,-0.3803,disIncompLocusPref
4,STH,8,0.91,-0.225,disIncompLocusPref
4,STL,9,0.91,-0.3243,disIncompLocusPref
4,STM,9,0.91,-0.2564,disIncompLocusPref
4,STH,9,0.91,-0.2099,disIncompLocusPref
4,STL,10,0.91,-0.225,disIncompLocusPref
4,STM,10,0.91,-0.3067,disIncompLocusPref
4,STH,10,0.91,-0.2727,disIncompLocusPref
4,STL,11,0.91,-0.2895,disIncompLocusPref
4,STM,11,0.91,-0.4203,disIncompLocusPref
4,STH,11,0.91,-0.3425,disIncompLocusPref
4,STL,12,0.91,-0.3611,disIncompLocusPref
4,STM,12,0.91,-0.3611,disIncompLocusPref
4,STH,12,0.91,-0.3243,disIncompLocusPref
4,STL,13,0.91,-0.4203,disIncompLocusPref
4,STM,13,0.91,-0.3425,disIncompLocusPref
4,STH,13,0.91,-0.4,disIncompLocusPref
4,STL,14,0.91,-0.3243,disIncompLocusPref
4,STM,14,0.91,-0.225,disIncompLocusPref
4,STH,14,0.91,-0.3425,disIncompLocusPref
4,STL,15,0.91,-0.2727,disIncompLocusPref
4,STM,15,0.91,-0.2895,disIncompLocusPref
4,STH,15,0.91,-0.2895,disIncompLocusPref
4,STL,16,0.91,-0.3067,disIncompLocusPref
4,STM,16,0.91,-0.3803,disIncompLocusPref
4,STH,16,0.91,-0.3067,disIncompLocusPref
4,STL,17,0.91,-0.2564,disIncompLocusPref
4,STM,17,0.91,-0.4627,disIncompLocusPref
4,STH,17,0.91,-0.3425,disIncompLocusPref
4,STL,18,0.91,-0.2405,disIncompLocusPref
4,STM,18,0.91,-0.3425,disIncompLocusPref
4,STH,18,0.91,-0.1951,disIncompLocusPref
4,STL,19,0.91,-0.4,disIncompLocusPref
4,STM,19,0.91,-0.3243,disIncompLocusPref
4,STH,19,0.91,-0.2727,disIncompLocusPref
4,STL,20,0.91,-0.3243,disIncompLocusPref
4,STM,20,0.91,-0.3425,disIncompLocusPref
4,STH,20,0.91,-0.3067,disIncompLocusPref
5,STL,1,0.91,-1,disIncompLocusPref
5,STM,1,0.91,-1,disIncompLocusPref
5,STH,1,0.91,-1,disIncompLocusPref
5,STL,2,0.91,-0.435,disIncompLocusPref
5,STM,2,0.91,-0.3279,disIncompLocusPref
5,STH,2,0.91,-0.4678,disIncompLocusPref
5,STL,3,0.91,-0.3611,disIncompLocusPref
5,STM,3,0.91,-0.2171,disIncompLocusPref
5,STH,3,0.91,-0.3243,disIncompLocusPref
5,STL,4,0.91,-0.3611,disIncompLocusPref
5,STM,4,0.91,-0.3611,disIncompLocusPref
5,STH,4,0.91,-0.4203,disIncompLocusPref
5,STL,5,0.91,-0.3243,disIncompLocusPref
5,STM,5,0.91,-0.3611,disIncompLocusPref
5,STH,5,0.91,-0.4,disIncompLocusPref
5,STL,6,0.91,-0.4848,disIncompLocusPref
5,STM,6,0.91,-0.4203,disIncompLocusPref
5,STH,6,0.91,-0.3611,disIncompLocusPref
5,STL,7,0.91,-0.3803,disIncompLocusPref
