replicate,pop,gen,prefS,H0,selModel
4,STH,16,0.2,0,malGenWidePref
4,STL,17,0.2,0,malGenWidePref
4,STM,17,0.2,0.12,malGenWidePref
4,STH,17,0.2,0,malGenWidePref
4,STL,18,0.2,0,malGenWidePref
4,STM,18,0.2,0.14,malGenWidePref
4,STH,18,0.2,0,malGenWidePref
4,STL,19,0.2,0,malGenWidePref
4,STM,19,0.2,0.06,malGenWidePref
4,STH,19,0.2,0,malGenWidePref
4,STL,20,0.2,0,malGenWidePref
4,STM,20,0.2,0.12,malGenWidePref
4,STH,20,0.2,0,malGenWidePref
5,STL,1,0.2,1,malGenWidePref
5,STM,1,0.2,1,malGenWidePref
5,STH,1,0.2,1,malGenWidePref
5,STL,2,0.2,0.56,malGenWidePref
5,STM,2,0.2,0.64,malGenWidePref
5,STH,2,0.2,0.6,malGenWidePref
5,STL,3,0.2,0.48,malGenWidePref
5,STM,3,0.2,0.56,malGenWidePref
5,STH,3,0.2,0.36,malGenWidePref
5,STL,4,0.2,0.4,malGenWidePref
5,STM,4,0.2,0.32,malGenWidePref
5,STH,4,0.2,0.24,malGenWidePref
5,STL,5,0.2,0.4,malGenWidePref
5,STM,5,0.2,0.32,malGenWidePref
5,STH,5,0.2,0.26,malGenWidePref
5,STL,6,0.2,0.3,malGenWidePref
5,STM,6,0.2,0.28,malGenWidePref
5,STH,6,0.2,0.14,malGenWidePref
5,STL,7,0.2,0.44,malGenWidePref
5,STM,7,0.2,0.26,malGenWidePref
5,STH,7,0.2,0.1,malGenWidePref
5,STL,8,0.2,0.32,malGenWidePref
5,STM,8,0.2,0.22,malGenWidePref
5,STH,8,0.2,0.18,malGenWidePref
5,STL,9,0.2,0.38,malGenWidePref
5,STM,9,0.2,0.16,malGenWidePref
5,STH,9,0.2,0.22,malGenWidePref
5,STL,10,0.2,0.32,malGenWidePref
5,STM,10,0.2,0.12,malGenWidePref
5,STH,10,0.2,0.2,malGenWidePref
5,STL,11,0.2,0.42,malGenWidePref
5,STM,11,0.2,0.18,malGenWidePref
5,STH,11,0.2,0.2,malGenWidePref
5,STL,12,0.2,0.32,malGenWidePref
5,STM,12,0.2,0.16,malGenWidePref
5,STH,12,0.2,0.24,malGenWidePref
5,STL,13,0.2,0.2,malGenWidePref
5,STM,13,0.2,0.16,malGenWidePref
5,STH,13,0.2,0.18,malGenWidePref
5,STL,14,0.2,0.3,malGenWidePref
5,STM,14,0.2,0.14,malGenWidePref
5,STH,14,0.2,0.2,malGenWidePref
5,STL,15,0.2,0.3,malGenWidePref
5,STM,15,0.2,0.08,malGenWidePref
5,STH,15,0.2,0.12,malGenWidePref
5,STL,16,0.2,0.36,malGenWidePref
5,STM,16,0.2,0.04,malGenWidePref
5,STH,16,0.2,0.06,malGenWidePref
5,STL,17,0.2,0.4,malGenWidePref
5,STM,17,0.2,0,malGenWidePref
5,STH,17,0.2,0.04,malGenWidePref
5,STL,18,0.2,0.4,malGenWidePref
5,STM,18,0.2,0,malGenWidePref
5,STH,18,0.2,0.04,malGenWidePref
5,STL,19,0.2,0.26,malGenWidePref
5,STM,19,0.2,0,malGenWidePref
5,STH,19,0.2,0.06,malGenWidePref
5,STL,20,0.2,0.24,malGenWidePref
5,STM,20,0.2,0,malGenWidePref
5,STH,20,0.2,0.06,malGenWidePref
6,STL,1,0.2,1,malGenWidePref
6,STM,1,0.2,1,malGenWidePref
6,STH,1,0.2,1,malGenWidePref
6,STL,2,0.2,0.64,malGenWidePref
6,STM,2,0.2,0.48,malGenWidePref
6,STH,2,0.2,0.7,malGenWidePref
6,STL,3,0.2,0.5,malGenWidePref
6,STM,3,0.2,0.46,malGenWidePref
6,STH,3,0.2,0.42,malGenWidePref
6,STL,4,0.2,0.44,malGenWidePref
6,STM,4,0.2,0.28,malGenWidePref
6,STH,4,0.2,0.32,malGenWidePref
6,STL,5,0.2,0.38,malGenWidePref
6,STM,5,0.2,0.06,malGenWidePref
6,STH,5,0.2,0.3,malGenWidePref
6,STL,6,0.2,0.32,malGenWidePref
6,STM,6,0.2,0.06,malGenWidePref
6,STH,6,0.2,0.28,malGenWidePref
6,STL,7,0.2,0.22,malGenWidePref
6,STM,7,0.2,0.04,malGenWidePref
6,STH,7,0.2,0.32,malGenWidePref
6,STL,8,0.2,0.26,malGenWidePref
6,STM,8,0.2,0,malGenWidePref
6,STH,8,0.2,0.34,malGenWidePref
6,STL,9,0.2,0.2,malGenWidePref
6,STM,9,0.2,0,malGenWidePref
6,STH,9,0.2,0.32,malGenWidePref
6,STL,10,0.2,0.14,malGenWidePref
6,STM,10,0.2,0,malGenWidePref
6,STH,10,0.2,0.2,malGenWidePref
6,STL,11,0.2,0.28,malGenWidePref
6,STM,11,0.2,0,malGenWidePref
6,STH,11,0.2,0.2,malGenWidePref
6,STL,12,0.2,0.34,malGenWidePref
6,STM,12,0.2,0,malGenWidePref
6,STH,12,0.2,0.08,malGenWidePref
6,STL,13,0.2,0.42,malGenWidePref
6,STM,13,0.2,0,malGenWidePref
6,STH,13,0.2,0.14,malGenWidePref
6,STL,14,0.2,0.38,malGenWidePref
6,STM,14,0.2,0,malGenWidePref
6,STH,14,0.2,0.1,malGenWidePref
6,STL,15,0.2,0.38,malGenWidePref
6,STM,15,0.2,0,malGenWidePref
6,STH,15,0.2,0.12,malGenWidePref
6,STL,16,0.2,0.3,malGenWidePref
6,STM,16,0.2,0,malGenWidePref
6,STH,16,0.2,0.18,malGenWidePref
6,STL,17,0.2,0.24,malGenWidePref
6,STM,17,0.2,0,malGenWidePref
6,STH,17,0.2,0.18,malGenWidePref
6,STL,18,0.2,0.24,malGenWidePref
6,STM,18,0.2,0,malGenWidePref
6,STH,18,0.2,0.26,malGenWidePref
6,STL,19,0.2,0.24,malGenWidePref
6,STM,19,0.2,0,malGenWidePref
6,STH,19,0.2,0.26,malGenWidePref
6,STL,20,0.2,0.36,malGenWidePref
6,STM,20,0.2,0,malGenWidePref
6,STH,20,0.2,0.3,malGenWidePref
7,STL,1,0.2,1,malGenWidePref
7,STM,1,0.2,1,malGenWidePref
7,STH,1,0.2,1,malGenWidePref
7,STL,2,0.2,0.66,malGenWidePref
7,STM,2,0.2,0.7,malGenWidePref
7,STH,2,0.2,0.54,malGenWidePref
7,STL,3,0.2,0.68,malGenWidePref
7,STM,3,0.2,0.52,malGenWidePref
7,STH,3,0.2,0.38,malGenWidePref
7,STL,4,0.2,0.52,malGenWidePref
7,STM,4,0.2,0.38,malGenWidePref
7,STH,4,0.2,0.4,malGenWidePref
7,STL,5,0.2,0.38,malGenWidePref
7,STM,5,0.2,0.26,malGenWidePref
7,STH,5,0.2,0.4,malGenWidePref
7,STL,6,0.2,0.32,malGenWidePref
7,STM,6,0.2,0.36,malGenWidePref
7,STH,6,0.2,0.34,malGenWidePref
7,STL,7,0.2,0.22,malGenWidePref
7,STM,7,0.2,0.36,malGenWidePref
7,STH,7,0.2,0.34,malGenWidePref
7,STL,8,0.2,0.16,malGenWidePref
7,STM,8,0.2,0.24,malGenWidePref
7,STH,8,0.2,0.4,malGenWidePref
7,STL,9,0.2,0.34,malGenWidePref
7,STM,9,0.2,0.32,malGenWidePref
7,STH,9,0.2,0.42,malGenWidePref
7,STL,10,0.2,0.28,malGenWidePref
7,STM,10,0.2,0.2,malGenWidePref
7,STH,10,0.2,0.48,malGenWidePref
7,STL,11,0.2,0.18,malGenWidePref
7,STM,11,0.2,0.16,malGenWidePref
7,STH,11,0.2,0.34,malGenWidePref
7,STL,12,0.2,0.14,malGenWidePref
7,STM,12,0.2,0.16,malGenWidePref
7,STH,12,0.2,0.26,malGenWidePref
7,STL,13,0.2,0.18,malGenWidePref
7,STM,13,0.2,0.24,malGenWidePref
7,STH,13,0.2,0.24,malGenWidePref
7,STL,14,0.2,0.16,malGenWidePref
7,STM,14,0.2,0.26,malGenWidePref
7,STH,14,0.2,0.16,malGenWidePref
7,STL,15,0.2,0.34,malGenWidePref
7,STM,15,0.2,0.08,malGenWidePref
7,STH,15,0.2,0.2,malGenWidePref
7,STL,16,0.2,0.24,malGenWidePref
7,STM,16,0.2,0.1,malGenWidePref
7,STH,16,0.2,0.14,malGenWidePref
7,STL,17,0.2,0.22,malGenWidePref
7,STM,17,0.2,0.12,malGenWidePref
7,STH,17,0.2,0.08,malGenWidePref
7,STL,18,0.2,0.24,malGenWidePref
7,STM,18,0.2,0.04,malGenWidePref
7,STH,18,0.2,0.1,malGenWidePref
7,STL,19,0.2,0.24,malGenWidePref
7,STM,19,0.2,0.08,malGenWidePref
7,STH,19,0.2,0.12,malGenWidePref
7,STL,20,0.2,0.2,malGenWidePref
7,STM,20,0.2,0.06,malGenWidePref
7,STH,20,0.2,0.1,malGenWidePref
8,STL,1,0.2,1,malGenWidePref
8,STM,1,0.2,1,malGenWidePref
8,STH,1,0.2,1,malGenWidePref
8,STL,2,0.2,0.7,malGenWidePref
8,STM,2,0.2,0.62,malGenWidePref
8,STH,2,0.2,0.7,malGenWidePref
8,STL,3,0.2,0.58,malGenWidePref
8,STM,3,0.2,0.54,malGenWidePref
8,STH,3,0.2,0.6,malGenWidePref
8,STL,4,0.2,0.56,malGenWidePref
8,STM,4,0.2,0.5,malGenWidePref
8,STH,4,0.2,0.3,malGenWidePref
8,STL,5,0.2,0.44,malGenWidePref
8,STM,5,0.2,0.32,malGenWidePref
8,STH,5,0.2,0.26,malGenWidePref
8,STL,6,0.2,0.32,malGenWidePref
8,STM,6,0.2,0.3,malGenWidePref
8,STH,6,0.2,0.24,malGenWidePref
8,STL,7,0.2,0.24,malGenWidePref
8,STM,7,0.2,0.26,malGenWidePref
8,STH,7,0.2,0.22,malGenWidePref
8,STL,8,0.2,0.18,malGenWidePref
8,STM,8,0.2,0.24,malGenWidePref
8,STH,8,0.2,0.18,malGenWidePref
8,STL,9,0.2,0.1,malGenWidePref
8,STM,9,0.2,0.16,malGenWidePref
8,STH,9,0.2,0.12,malGenWidePref
8,STL,10,0.2,0.12,malGenWidePref
8,STM,10,0.2,0.08,malGenWidePref
8,STH,10,0.2,0.08,malGenWidePref
8,STL,11,0.2,0.24,malGenWidePref
8,STM,11,0.2,0.06,malGenWidePref
8,STH,11,0.2,0.06,malGenWidePref
8,STL,12,0.2,0.34,malGenWidePref
8,STM,12,0.2,0.12,malGenWidePref
8,STH,12,0.2,0.04,malGenWidePref
8,STL,13,0.2,0.24,malGenWidePref
8,STM,13,0.2,0.02,malGenWidePref
8,STH,13,0.2,0.02,malGenWidePref
8,STL,14,0.2,0.18,malGenWidePref
8,STM,14,0.2,0.02,malGenWidePref
8,STH,14,0.2,0.02,malGenWidePref
8,STL,15,0.2,0.22,malGenWidePref
8,STM,15,0.2,0.04,malGenWidePref
8,STH,15,0.2,0.02,malGenWidePref
8,STL,16,0.2,0.2,malGenWidePref
8,STM,16,0.2,0.06,malGenWidePref
8,STH,16,0.2,0,malGenWidePref
8,STL,17,0.2,0.08,malGenWidePref
8,STM,17,0.2,0.06,malGenWidePref
8,STH,17,0.2,0,malGenWidePref
8,STL,18,0.2,0.04,malGenWidePref
8,STM,18,0.2,0.02,malGenWidePref
8,STH,18,0.2,0,malGenWidePref
8,STL,19,0.2,0.06,malGenWidePref
8,STM,19,0.2,0,malGenWidePref
8,STH,19,0.2,0,malGenWidePref
8,STL,20,0.2,0.08,malGenWidePref
8,STM,20,0.2,0,malGenWidePref
8,STH,20,0.2,0,malGenWidePref
9,STL,1,0.2,1,malGenWidePref
9,STM,1,0.2,1,malGenWidePref
9,STH,1,0.2,1,malGenWidePref
9,STL,2,0.2,0.74,malGenWidePref
9,STM,2,0.2,0.58,malGenWidePref
9,STH,2,0.2,0.68,malGenWidePref
9,STL,3,0.2,0.54,malGenWidePref
9,STM,3,0.2,0.66,malGenWidePref
9,STH,3,0.2,0.52,malGenWidePref
9,STL,4,0.2,0.36,malGenWidePref
9,STM,4,0.2,0.34,malGenWidePref
9,STH,4,0.2,0.36,malGenWidePref
9,STL,5,0.2,0.38,malGenWidePref
9,STM,5,0.2,0.16,malGenWidePref
9,STH,5,0.2,0.28,malGenWidePref
9,STL,6,0.2,0.3,malGenWidePref
9,STM,6,0.2,0.2,malGenWidePref
9,STH,6,0.2,0.26,malGenWidePref
9,STL,7,0.2,0.3,malGenWidePref
9,STM,7,0.2,0.14,malGenWidePref
9,STH,7,0.2,0.24,malGenWidePref
9,STL,8,0.2,0.26,malGenWidePref
9,STM,8,0.2,0.22,malGenWidePref
9,STH,8,0.2,0.18,malGenWidePref
9,STL,9,0.2,0.28,malGenWidePref
9,STM,9,0.2,0.32,malGenWidePref
9,STH,9,0.2,0.12,malGenWidePref
9,STL,10,0.2,0.18,malGenWidePref
9,STM,10,0.2,0.36,malGenWidePref
9,STH,10,0.2,0.12,malGenWidePref
9,STL,11,0.2,0.08,malGenWidePref
9,STM,11,0.2,0.24,malGenWidePref
9,STH,11,0.2,0.12,malGenWidePref
9,STL,12,0.2,0.08,malGenWidePref
9,STM,12,0.2,0.12,malGenWidePref
9,STH,12,0.2,0.08,malGenWidePref
9,STL,13,0.2,0.02,malGenWidePref
9,STM,13,0.2,0.16,malGenWidePref
9,STH,13,0.2,0.14,malGenWidePref
9,STL,14,0.2,0,malGenWidePref
9,STM,14,0.2,0.18,malGenWidePref
9,STH,14,0.2,0.14,malGenWidePref
9,STL,15,0.2,0,malGenWidePref
9,STM,15,0.2,0.22,malGenWidePref
9,STH,15,0.2,0.12,malGenWidePref
9,STL,16,0.2,0,malGenWidePref
9,STM,16,0.2,0.2,malGenWidePref
9,STH,16,0.2,0.02,malGenWidePref
9,STL,17,0.2,0,malGenWidePref
9,STM,17,0.2,0.18,malGenWidePref
9,STH,17,0.2,0,malGenWidePref
9,STL,18,0.2,0,malGenWidePref
9,STM,18,0.2,0.1,malGenWidePref
9,STH,18,0.2,0,malGenWidePref
9,STL,19,0.2,0,malGenWidePref
9,STM,19,0.2,0.1,malGenWidePref
9,STH,19,0.2,0,malGenWidePref
9,STL,20,0.2,0,malGenWidePref
9,STM,20,0.2,0.04,malGenWidePref
9,STH,20,0.2,0,malGenWidePref
10,STL,1,0.2,1,malGenWidePref
10,STM,1,0.2,1,malGenWidePref
10,STH,1,0.2,1,malGenWidePref
10,STL,2,0.2,0.64,malGenWidePref
10,STM,2,0.2,0.76,malGenWidePref
10,STH,2,0.2,0.6,malGenWidePref
10,STL,3,0.2,0.54,malGenWidePref
10,STM,3,0.2,0.5,malGenWidePref
10,STH,3,0.2,0.52,malGenWidePref
10,STL,4,0.2,0.44,malGenWidePref
10,STM,4,0.2,0.24,malGenWidePref
10,STH,4,0.2,0.48,malGenWidePref
10,STL,5,0.2,0.48,malGenWidePref
10,STM,5,0.2,0.24,malGenWidePref
10,STH,5,0.2,0.46,malGenWidePref
10,STL,6,0.2,0.34,malGenWidePref
10,STM,6,0.2,0.16,malGenWidePref
10,STH,6,0.2,0.44,malGenWidePref
10,STL,7,0.2,0.3,malGenWidePref
10,STM,7,0.2,0.16,malGenWidePref
10,STH,7,0.2,0.36,malGenWidePref
10,STL,8,0.2,0.34,malGenWidePref
10,STM,8,0.2,0.12,malGenWidePref
10,STH,8,0.2,0.24,malGenWidePref
10,STL,9,0.2,0.36,malGenWidePref
10,STM,9,0.2,0.14,malGenWidePref
10,STH,9,0.2,0.26,malGenWidePref
10,STL,10,0.2,0.16,malGenWidePref
10,STM,10,0.2,0.14,malGenWidePref
10,STH,10,0.2,0.1,malGenWidePref
10,STL,11,0.2,0.1,malGenWidePref
10,STM,11,0.2,0.06,malGenWidePref
10,STH,11,0.2,0.08,malGenWidePref
10,STL,12,0.2,0.2,malGenWidePref
10,STM,12,0.2,0.08,malGenWidePref
10,STH,12,0.2,0.1,malGenWidePref
10,STL,13,0.2,0.24,malGenWidePref
10,STM,13,0.2,0.04,malGenWidePref
10,STH,13,0.2,0.12,malGenWidePref
10,STL,14,0.2,0.22,malGenWidePref
10,STM,14,0.2,0.08,malGenWidePref
10,STH,14,0.2,0.12,malGenWidePref
10,STL,15,0.2,0.18,malGenWidePref
10,STM,15,0.2,0.1,malGenWidePref
10,STH,15,0.2,0.12,malGenWidePref
10,STL,16,0.2,0.2,malGenWidePref
10,STM,16,0.2,0.14,malGenWidePref
10,STH,16,0.2,0.16,malGenWidePref
10,STL,17,0.2,0.12,malGenWidePref
10,STM,17,0.2,0.16,malGenWidePref
10,STH,17,0.2,0.04,malGenWidePref
10,STL,18,0.2,0.14,malGenWidePref
10,STM,18,0.2,0.2,malGenWidePref
10,STH,18,0.2,0.06,malGenWidePref
10,STL,19,0.2,0.14,malGenWidePref
10,STM,19,0.2,0.16,malGenWidePref
10,STH,19,0.2,0.08,malGenWidePref
10,STL,20,0.2,0.16,malGenWidePref
10,STM,20,0.2,0.12,malGenWidePref
10,STH,20,0.2,0.1,malGenWidePref
11,STL,1,0.2,1,malGenWidePref
11,STM,1,0.2,1,malGenWidePref
11,STH,1,0.2,1,malGenWidePref
11,STL,2,0.2,0.7,malGenWidePref
11,STM,2,0.2,0.54,malGenWidePref
11,STH,2,0.2,0.56,malGenWidePref
11,STL,3,0.2,0.64,malGenWidePref
11,STM,3,0.2,0.26,malGenWidePref
11,STH,3,0.2,0.4,malGenWidePref
11,STL,4,0.2,0.5,malGenWidePref
11,STM,4,0.2,0.34,malGenWidePref
11,STH,4,0.2,0.3,malGenWidePref
11,STL,5,0.2,0.48,malGenWidePref
11,STM,5,0.2,0.36,malGenWidePref
