replicate,pop,gen,prefS,H0,selModel
2,STM,18,0.2,0.26,hetAltLocusPref
2,STH,18,0.2,0,hetAltLocusPref
2,STL,19,0.2,0,hetAltLocusPref
2,STM,19,0.2,0.34,hetAltLocusPref
2,STH,19,0.2,0,hetAltLocusPref
2,STL,20,0.2,0,hetAltLocusPref
2,STM,20,0.2,0.38,hetAltLocusPref
2,STH,20,0.2,0,hetAltLocusPref
3,STL,1,0.2,1,hetAltLocusPref
3,STM,1,0.2,1,hetAltLocusPref
3,STH,1,0.2,1,hetAltLocusPref
3,STL,2,0.2,0.6,hetAltLocusPref
3,STM,2,0.2,0.7,hetAltLocusPref
3,STH,2,0.2,0.72,hetAltLocusPref
3,STL,3,0.2,0.44,hetAltLocusPref
3,STM,3,0.2,0.5,hetAltLocusPref
3,STH,3,0.2,0.44,hetAltLocusPref
3,STL,4,0.2,0.36,hetAltLocusPref
3,STM,4,0.2,0.4,hetAltLocusPref
3,STH,4,0.2,0.42,hetAltLocusPref
3,STL,5,0.2,0.3,hetAltLocusPref
3,STM,5,0.2,0.34,hetAltLocusPref
3,STH,5,0.2,0.24,hetAltLocusPref
3,STL,6,0.2,0.22,hetAltLocusPref
3,STM,6,0.2,0.32,hetAltLocusPref
3,STH,6,0.2,0.16,hetAltLocusPref
3,STL,7,0.2,0.26,hetAltLocusPref
3,STM,7,0.2,0.32,hetAltLocusPref
3,STH,7,0.2,0.22,hetAltLocusPref
3,STL,8,0.2,0.12,hetAltLocusPref
3,STM,8,0.2,0.5,hetAltLocusPref
3,STH,8,0.2,0.26,hetAltLocusPref
3,STL,9,0.2,0.14,hetAltLocusPref
3,STM,9,0.2,0.48,hetAltLocusPref
3,STH,9,0.2,0.12,hetAltLocusPref
3,STL,10,0.2,0.1,hetAltLocusPref
3,STM,10,0.2,0.36,hetAltLocusPref
3,STH,10,0.2,0.1,hetAltLocusPref
3,STL,11,0.2,0.04,hetAltLocusPref
3,STM,11,0.2,0.2,hetAltLocusPref
3,STH,11,0.2,0.1,hetAltLocusPref
3,STL,12,0.2,0.02,hetAltLocusPref
3,STM,12,0.2,0.28,hetAltLocusPref
3,STH,12,0.2,0.06,hetAltLocusPref
3,STL,13,0.2,0.04,hetAltLocusPref
3,STM,13,0.2,0.22,hetAltLocusPref
3,STH,13,0.2,0.1,hetAltLocusPref
3,STL,14,0.2,0.08,hetAltLocusPref
3,STM,14,0.2,0.24,hetAltLocusPref
3,STH,14,0.2,0.12,hetAltLocusPref
3,STL,15,0.2,0.14,hetAltLocusPref
3,STM,15,0.2,0.26,hetAltLocusPref
3,STH,15,0.2,0.1,hetAltLocusPref
3,STL,16,0.2,0.14,hetAltLocusPref
3,STM,16,0.2,0.16,hetAltLocusPref
3,STH,16,0.2,0.04,hetAltLocusPref
3,STL,17,0.2,0.14,hetAltLocusPref
3,STM,17,0.2,0.12,hetAltLocusPref
3,STH,17,0.2,0.08,hetAltLocusPref
3,STL,18,0.2,0.12,hetAltLocusPref
3,STM,18,0.2,0.12,hetAltLocusPref
3,STH,18,0.2,0.12,hetAltLocusPref
3,STL,19,0.2,0.1,hetAltLocusPref
3,STM,19,0.2,0.12,hetAltLocusPref
3,STH,19,0.2,0.1,hetAltLocusPref
3,STL,20,0.2,0.14,hetAltLocusPref
3,STM,20,0.2,0.12,hetAltLocusPref
3,STH,20,0.2,0.08,hetAltLocusPref
4,STL,1,0.2,1,hetAltLocusPref
4,STM,1,0.2,1,hetAltLocusPref
4,STH,1,0.2,1,hetAltLocusPref
4,STL,2,0.2,0.52,hetAltLocusPref
4,STM,2,0.2,0.6,hetAltLocusPref
4,STH,2,0.2,0.66,hetAltLocusPref
4,STL,3,0.2,0.44,hetAltLocusPref
4,STM,3,0.2,0.56,hetAltLocusPref
4,STH,3,0.2,0.58,hetAltLocusPref
4,STL,4,0.2,0.28,hetAltLocusPref
4,STM,4,0.2,0.54,hetAltLocusPref
4,STH,4,0.2,0.54,hetAltLocusPref
4,STL,5,0.2,0.3,hetAltLocusPref
4,STM,5,0.2,0.4,hetAltLocusPref
4,STH,5,0.2,0.5,hetAltLocusPref
4,STL,6,0.2,0.22,hetAltLocusPref
4,STM,6,0.2,0.42,hetAltLocusPref
4,STH,6,0.2,0.4,hetAltLocusPref
4,STL,7,0.2,0.2,hetAltLocusPref
4,STM,7,0.2,0.36,hetAltLocusPref
4,STH,7,0.2,0.22,hetAltLocusPref
4,STL,8,0.2,0.24,hetAltLocusPref
4,STM,8,0.2,0.34,hetAltLocusPref
4,STH,8,0.2,0.26,hetAltLocusPref
4,STL,9,0.2,0.18,hetAltLocusPref
4,STM,9,0.2,0.34,hetAltLocusPref
4,STH,9,0.2,0.18,hetAltLocusPref
4,STL,10,0.2,0.18,hetAltLocusPref
4,STM,10,0.2,0.42,hetAltLocusPref
4,STH,10,0.2,0.24,hetAltLocusPref
4,STL,11,0.2,0.14,hetAltLocusPref
4,STM,11,0.2,0.34,hetAltLocusPref
4,STH,11,0.2,0.28,hetAltLocusPref
4,STL,12,0.2,0.08,hetAltLocusPref
4,STM,12,0.2,0.28,hetAltLocusPref
4,STH,12,0.2,0.24,hetAltLocusPref
4,STL,13,0.2,0.08,hetAltLocusPref
4,STM,13,0.2,0.3,hetAltLocusPref
4,STH,13,0.2,0.28,hetAltLocusPref
4,STL,14,0.2,0.12,hetAltLocusPref
4,STM,14,0.2,0.3,hetAltLocusPref
4,STH,14,0.2,0.22,hetAltLocusPref
4,STL,15,0.2,0.08,hetAltLocusPref
4,STM,15,0.2,0.3,hetAltLocusPref
4,STH,15,0.2,0.28,hetAltLocusPref
4,STL,16,0.2,0.08,hetAltLocusPref
4,STM,16,0.2,0.18,hetAltLocusPref
4,STH,16,0.2,0.18,hetAltLocusPref
4,STL,17,0.2,0.06,hetAltLocusPref
4,STM,17,0.2,0.14,hetAltLocusPref
4,STH,17,0.2,0.12,hetAltLocusPref
4,STL,18,0.2,0.1,hetAltLocusPref
4,STM,18,0.2,0.08,hetAltLocusPref
4,STH,18,0.2,0.08,hetAltLocusPref
4,STL,19,0.2,0.08,hetAltLocusPref
4,STM,19,0.2,0.08,hetAltLocusPref
4,STH,19,0.2,0.04,hetAltLocusPref
4,STL,20,0.2,0.04,hetAltLocusPref
4,STM,20,0.2,0.02,hetAltLocusPref
4,STH,20,0.2,0,hetAltLocusPref
5,STL,1,0.2,1,hetAltLocusPref
5,STM,1,0.2,1,hetAltLocusPref
5,STH,1,0.2,1,hetAltLocusPref
5,STL,2,0.2,0.5,hetAltLocusPref
5,STM,2,0.2,0.7,hetAltLocusPref
5,STH,2,0.2,0.62,hetAltLocusPref
5,STL,3,0.2,0.52,hetAltLocusPref
5,STM,3,0.2,0.6,hetAltLocusPref
5,STH,3,0.2,0.52,hetAltLocusPref
5,STL,4,0.2,0.44,hetAltLocusPref
5,STM,4,0.2,0.38,hetAltLocusPref
5,STH,4,0.2,0.44,hetAltLocusPref
5,STL,5,0.2,0.36,hetAltLocusPref
5,STM,5,0.2,0.34,hetAltLocusPref
5,STH,5,0.2,0.4,hetAltLocusPref
5,STL,6,0.2,0.38,hetAltLocusPref
5,STM,6,0.2,0.26,hetAltLocusPref
5,STH,6,0.2,0.36,hetAltLocusPref
5,STL,7,0.2,0.38,hetAltLocusPref
5,STM,7,0.2,0.36,hetAltLocusPref
5,STH,7,0.2,0.28,hetAltLocusPref
5,STL,8,0.2,0.3,hetAltLocusPref
5,STM,8,0.2,0.28,hetAltLocusPref
5,STH,8,0.2,0.3,hetAltLocusPref
5,STL,9,0.2,0.2,hetAltLocusPref
5,STM,9,0.2,0.34,hetAltLocusPref
5,STH,9,0.2,0.3,hetAltLocusPref
5,STL,10,0.2,0.22,hetAltLocusPref
5,STM,10,0.2,0.36,hetAltLocusPref
5,STH,10,0.2,0.26,hetAltLocusPref
5,STL,11,0.2,0.16,hetAltLocusPref
5,STM,11,0.2,0.44,hetAltLocusPref
5,STH,11,0.2,0.3,hetAltLocusPref
5,STL,12,0.2,0.18,hetAltLocusPref
5,STM,12,0.2,0.34,hetAltLocusPref
5,STH,12,0.2,0.22,hetAltLocusPref
5,STL,13,0.2,0.1,hetAltLocusPref
5,STM,13,0.2,0.34,hetAltLocusPref
5,STH,13,0.2,0.24,hetAltLocusPref
5,STL,14,0.2,0.06,hetAltLocusPref
5,STM,14,0.2,0.28,hetAltLocusPref
5,STH,14,0.2,0.12,hetAltLocusPref
5,STL,15,0.2,0.06,hetAltLocusPref
5,STM,15,0.2,0.26,hetAltLocusPref
5,STH,15,0.2,0.04,hetAltLocusPref
5,STL,16,0.2,0.06,hetAltLocusPref
5,STM,16,0.2,0.26,hetAltLocusPref
5,STH,16,0.2,0.02,hetAltLocusPref
5,STL,17,0.2,0.04,hetAltLocusPref
5,STM,17,0.2,0.28,hetAltLocusPref
5,STH,17,0.2,0,hetAltLocusPref
5,STL,18,0.2,0.06,hetAltLocusPref
5,STM,18,0.2,0.22,hetAltLocusPref
5,STH,18,0.2,0,hetAltLocusPref
5,STL,19,0.2,0,hetAltLocusPref
5,STM,19,0.2,0.18,hetAltLocusPref
5,STH,19,0.2,0,hetAltLocusPref
5,STL,20,0.2,0,hetAltLocusPref
5,STM,20,0.2,0.18,hetAltLocusPref
5,STH,20,0.2,0,hetAltLocusPref
6,STL,1,0.2,1,hetAltLocusPref
6,STM,1,0.2,1,hetAltLocusPref
6,STH,1,0.2,1,hetAltLocusPref
6,STL,2,0.2,0.68,hetAltLocusPref
6,STM,2,0.2,0.66,hetAltLocusPref
6,STH,2,0.2,0.78,hetAltLocusPref
6,STL,3,0.2,0.54,hetAltLocusPref
6,STM,3,0.2,0.68,hetAltLocusPref
6,STH,3,0.2,0.64,hetAltLocusPref
6,STL,4,0.2,0.46,hetAltLocusPref
6,STM,4,0.2,0.3,hetAltLocusPref
6,STH,4,0.2,0.6,hetAltLocusPref
6,STL,5,0.2,0.42,hetAltLocusPref
6,STM,5,0.2,0.36,hetAltLocusPref
6,STH,5,0.2,0.34,hetAltLocusPref
6,STL,6,0.2,0.3,hetAltLocusPref
6,STM,6,0.2,0.42,hetAltLocusPref
6,STH,6,0.2,0.24,hetAltLocusPref
6,STL,7,0.2,0.22,hetAltLocusPref
6,STM,7,0.2,0.38,hetAltLocusPref
6,STH,7,0.2,0.2,hetAltLocusPref
6,STL,8,0.2,0.12,hetAltLocusPref
6,STM,8,0.2,0.4,hetAltLocusPref
6,STH,8,0.2,0.14,hetAltLocusPref
6,STL,9,0.2,0.18,hetAltLocusPref
6,STM,9,0.2,0.44,hetAltLocusPref
6,STH,9,0.2,0.16,hetAltLocusPref
6,STL,10,0.2,0.16,hetAltLocusPref
6,STM,10,0.2,0.38,hetAltLocusPref
6,STH,10,0.2,0.1,hetAltLocusPref
6,STL,11,0.2,0.16,hetAltLocusPref
6,STM,11,0.2,0.44,hetAltLocusPref
6,STH,11,0.2,0.1,hetAltLocusPref
6,STL,12,0.2,0.18,hetAltLocusPref
6,STM,12,0.2,0.34,hetAltLocusPref
6,STH,12,0.2,0.06,hetAltLocusPref
6,STL,13,0.2,0.14,hetAltLocusPref
6,STM,13,0.2,0.28,hetAltLocusPref
6,STH,13,0.2,0.08,hetAltLocusPref
6,STL,14,0.2,0.16,hetAltLocusPref
6,STM,14,0.2,0.32,hetAltLocusPref
6,STH,14,0.2,0.02,hetAltLocusPref
6,STL,15,0.2,0.22,hetAltLocusPref
6,STM,15,0.2,0.22,hetAltLocusPref
6,STH,15,0.2,0.02,hetAltLocusPref
6,STL,16,0.2,0.14,hetAltLocusPref
6,STM,16,0.2,0.18,hetAltLocusPref
6,STH,16,0.2,0.08,hetAltLocusPref
6,STL,17,0.2,0.14,hetAltLocusPref
6,STM,17,0.2,0.12,hetAltLocusPref
6,STH,17,0.2,0.08,hetAltLocusPref
6,STL,18,0.2,0.1,hetAltLocusPref
6,STM,18,0.2,0.04,hetAltLocusPref
6,STH,18,0.2,0.08,hetAltLocusPref
6,STL,19,0.2,0.08,hetAltLocusPref
6,STM,19,0.2,0.04,hetAltLocusPref
6,STH,19,0.2,0.06,hetAltLocusPref
6,STL,20,0.2,0.1,hetAltLocusPref
6,STM,20,0.2,0.02,hetAltLocusPref
6,STH,20,0.2,0.06,hetAltLocusPref
7,STL,1,0.2,1,hetAltLocusPref
7,STM,1,0.2,1,hetAltLocusPref
7,STH,1,0.2,1,hetAltLocusPref
7,STL,2,0.2,0.54,hetAltLocusPref
7,STM,2,0.2,0.64,hetAltLocusPref
7,STH,2,0.2,0.54,hetAltLocusPref
7,STL,3,0.2,0.5,hetAltLocusPref
7,STM,3,0.2,0.56,hetAltLocusPref
7,STH,3,0.2,0.3,hetAltLocusPref
7,STL,4,0.2,0.44,hetAltLocusPref
7,STM,4,0.2,0.44,hetAltLocusPref
