replicate,pop,gen,prefS,Fis,selModel
2,STH,15,0.2,-0.0208,hetAltLocusPref
2,STL,16,0.2,-0.0208,hetAltLocusPref
2,STM,16,0.2,-0.1667,hetAltLocusPref
2,STH,16,0.2,NaN,hetAltLocusPref
2,STL,17,0.2,NaN,hetAltLocusPref
2,STM,17,0.2,-0.1807,hetAltLocusPref
2,STH,17,0.2,NaN,hetAltLocusPref
2,STL,18,0.2,NaN,hetAltLocusPref
2,STM,18,0.2,0.0887,hetAltLocusPref
2,STH,18,0.2,NaN,hetAltLocusPref
2,STL,19,0.2,NaN,hetAltLocusPref
2,STM,19,0.2,-0.1951,hetAltLocusPref
2,STH,19,0.2,NaN,hetAltLocusPref
2,STL,20,0.2,NaN,hetAltLocusPref
2,STM,20,0.2,-0.225,hetAltLocusPref
2,STH,20,0.2,NaN,hetAltLocusPref
3,STL,1,0.2,-1,hetAltLocusPref
3,STM,1,0.2,-1,hetAltLocusPref
3,STH,1,0.2,-1,hetAltLocusPref
3,STL,2,0.2,-0.3279,hetAltLocusPref
3,STM,2,0.2,-0.5312,hetAltLocusPref
3,STH,2,0.2,-0.5556,hetAltLocusPref
3,STL,3,0.2,-0.2727,hetAltLocusPref
3,STM,3,0.2,-0.3243,hetAltLocusPref
3,STH,3,0.2,-0.2727,hetAltLocusPref
3,STL,4,0.2,-0.2099,hetAltLocusPref
3,STM,4,0.2,-0.2405,hetAltLocusPref
3,STH,4,0.2,-0.2564,hetAltLocusPref
3,STL,5,0.2,-0.1667,hetAltLocusPref
3,STM,5,0.2,-0.1951,hetAltLocusPref
3,STH,5,0.2,-0.1264,hetAltLocusPref
3,STL,6,0.2,-0.1136,hetAltLocusPref
3,STM,6,0.2,-0.1807,hetAltLocusPref
3,STH,6,0.2,-0.0769,hetAltLocusPref
3,STL,7,0.2,-0.1395,hetAltLocusPref
3,STM,7,0.2,-0.1807,hetAltLocusPref
3,STH,7,0.2,-0.1136,hetAltLocusPref
3,STL,8,0.2,-0.0538,hetAltLocusPref
3,STM,8,0.2,-0.3243,hetAltLocusPref
3,STH,8,0.2,-0.1395,hetAltLocusPref
3,STL,9,0.2,-0.0652,hetAltLocusPref
3,STM,9,0.2,-0.2379,hetAltLocusPref
3,STH,9,0.2,-0.0538,hetAltLocusPref
3,STL,10,0.2,-0.0426,hetAltLocusPref
3,STM,10,0.2,-0.2099,hetAltLocusPref
3,STH,10,0.2,-0.0426,hetAltLocusPref
3,STL,11,0.2,-0.0103,hetAltLocusPref
3,STM,11,0.2,-0.1011,hetAltLocusPref
3,STH,11,0.2,-0.0426,hetAltLocusPref
3,STL,12,0.2,0,hetAltLocusPref
3,STM,12,0.2,-0.1529,hetAltLocusPref
3,STH,12,0.2,-0.0208,hetAltLocusPref
3,STL,13,0.2,-0.0103,hetAltLocusPref
3,STM,13,0.2,-0.1136,hetAltLocusPref
3,STH,13,0.2,-0.0426,hetAltLocusPref
3,STL,14,0.2,-0.0316,hetAltLocusPref
3,STM,14,0.2,-0.1264,hetAltLocusPref
3,STH,14,0.2,-0.0538,hetAltLocusPref
3,STL,15,0.2,-0.0652,hetAltLocusPref
3,STM,15,0.2,-0.1395,hetAltLocusPref
3,STH,15,0.2,-0.0426,hetAltLocusPref
3,STL,16,0.2,-0.0652,hetAltLocusPref
3,STM,16,0.2,-0.0769,hetAltLocusPref
3,STH,16,0.2,-0.0103,hetAltLocusPref
3,STL,17,0.2,-0.0652,hetAltLocusPref
3,STM,17,0.2,-0.0538,hetAltLocusPref
3,STH,17,0.2,-0.0316,hetAltLocusPref
3,STL,18,0.2,-0.0538,hetAltLocusPref
3,STM,18,0.2,-0.0538,hetAltLocusPref
3,STH,18,0.2,-0.0538,hetAltLocusPref
3,STL,19,0.2,-0.0426,hetAltLocusPref
3,STM,19,0.2,-0.0538,hetAltLocusPref
3,STH,19,0.2,-0.0426,hetAltLocusPref
3,STL,20,0.2,-0.0652,hetAltLocusPref
3,STM,20,0.2,-0.0538,hetAltLocusPref
3,STH,20,0.2,-0.0316,hetAltLocusPref
4,STL,1,0.2,-1,hetAltLocusPref
4,STM,1,0.2,-1,hetAltLocusPref
4,STH,1,0.2,-1,hetAltLocusPref
4,STL,2,0.2,-0.2285,hetAltLocusPref
4,STM,2,0.2,-0.264,hetAltLocusPref
4,STH,2,0.2,-0.4073,hetAltLocusPref
4,STL,3,0.2,-0.2727,hetAltLocusPref
4,STM,3,0.2,-0.3243,hetAltLocusPref
4,STH,3,0.2,-0.4,hetAltLocusPref
4,STL,4,0.2,-0.1529,hetAltLocusPref
4,STM,4,0.2,-0.3022,hetAltLocusPref
4,STH,4,0.2,-0.3022,hetAltLocusPref
4,STL,5,0.2,-0.1667,hetAltLocusPref
4,STM,5,0.2,-0.0294,hetAltLocusPref
4,STH,5,0.2,-0.259,hetAltLocusPref
4,STL,6,0.2,-0.1136,hetAltLocusPref
4,STM,6,0.2,-0.2564,hetAltLocusPref
4,STH,6,0.2,-0.0865,hetAltLocusPref
4,STL,7,0.2,-0.1011,hetAltLocusPref
4,STM,7,0.2,-0.2099,hetAltLocusPref
4,STH,7,0.2,-0.1136,hetAltLocusPref
4,STL,8,0.2,-0.1264,hetAltLocusPref
4,STM,8,0.2,-0.1951,hetAltLocusPref
4,STH,8,0.2,-0.1395,hetAltLocusPref
4,STL,9,0.2,-0.0889,hetAltLocusPref
4,STM,9,0.2,-0.0946,hetAltLocusPref
4,STH,9,0.2,-0.0889,hetAltLocusPref
4,STL,10,0.2,-0.0889,hetAltLocusPref
4,STM,10,0.2,-0.2564,hetAltLocusPref
4,STH,10,0.2,-0.1264,hetAltLocusPref
4,STL,11,0.2,-0.0652,hetAltLocusPref
4,STM,11,0.2,-0.1951,hetAltLocusPref
4,STH,11,0.2,-0.1529,hetAltLocusPref
4,STL,12,0.2,-0.0316,hetAltLocusPref
4,STM,12,0.2,-0.1529,hetAltLocusPref
4,STH,12,0.2,0.0134,hetAltLocusPref
4,STL,13,0.2,-0.0316,hetAltLocusPref
4,STM,13,0.2,-0.1667,hetAltLocusPref
4,STH,13,0.2,-0.1529,hetAltLocusPref
4,STL,14,0.2,-0.0538,hetAltLocusPref
4,STM,14,0.2,-0.1667,hetAltLocusPref
4,STH,14,0.2,-0.1136,hetAltLocusPref
4,STL,15,0.2,-0.0316,hetAltLocusPref
4,STM,15,0.2,-0.1667,hetAltLocusPref
4,STH,15,0.2,-0.1529,hetAltLocusPref
4,STL,16,0.2,-0.0316,hetAltLocusPref
4,STM,16,0.2,-0.0889,hetAltLocusPref
4,STH,16,0.2,-0.0889,hetAltLocusPref
4,STL,17,0.2,-0.0208,hetAltLocusPref
4,STM,17,0.2,-0.0652,hetAltLocusPref
4,STH,17,0.2,-0.0538,hetAltLocusPref
4,STL,18,0.2,-0.0426,hetAltLocusPref
4,STM,18,0.2,-0.0316,hetAltLocusPref
4,STH,18,0.2,-0.0316,hetAltLocusPref
4,STL,19,0.2,-0.0316,hetAltLocusPref
4,STM,19,0.2,-0.0316,hetAltLocusPref
4,STH,19,0.2,-0.0103,hetAltLocusPref
4,STL,20,0.2,-0.0103,hetAltLocusPref
4,STM,20,0.2,0,hetAltLocusPref
4,STH,20,0.2,NaN,hetAltLocusPref
5,STL,1,0.2,-1,hetAltLocusPref
5,STM,1,0.2,-1,hetAltLocusPref
5,STH,1,0.2,-1,hetAltLocusPref
5,STL,2,0.2,-0.1208,hetAltLocusPref
5,STM,2,0.2,-0.5312,hetAltLocusPref
5,STH,2,0.2,-0.2939,hetAltLocusPref
5,STL,3,0.2,-0.2804,hetAltLocusPref
5,STM,3,0.2,-0.4203,hetAltLocusPref
5,STH,3,0.2,-0.3425,hetAltLocusPref
5,STL,4,0.2,-0.2727,hetAltLocusPref
5,STM,4,0.2,-0.225,hetAltLocusPref
5,STH,4,0.2,-0.2727,hetAltLocusPref
5,STL,5,0.2,-0.2099,hetAltLocusPref
5,STM,5,0.2,-0.0946,hetAltLocusPref
5,STH,5,0.2,-0.2405,hetAltLocusPref
5,STL,6,0.2,-0.1354,hetAltLocusPref
5,STM,6,0.2,-0.1395,hetAltLocusPref
5,STH,6,0.2,-0.115,hetAltLocusPref
5,STL,7,0.2,-0.1354,hetAltLocusPref
5,STM,7,0.2,-0.2099,hetAltLocusPref
5,STH,7,0.2,-0.1529,hetAltLocusPref
5,STL,8,0.2,-0.1667,hetAltLocusPref
5,STM,8,0.2,-0.1529,hetAltLocusPref
5,STH,8,0.2,-0.1667,hetAltLocusPref
5,STL,9,0.2,-0.1011,hetAltLocusPref
5,STM,9,0.2,-0.1951,hetAltLocusPref
5,STH,9,0.2,-0.1667,hetAltLocusPref
5,STL,10,0.2,-0.1136,hetAltLocusPref
5,STM,10,0.2,-0.2099,hetAltLocusPref
5,STH,10,0.2,-0.1395,hetAltLocusPref
5,STL,11,0.2,-0.0769,hetAltLocusPref
5,STM,11,0.2,-0.2727,hetAltLocusPref
5,STH,11,0.2,-0.1667,hetAltLocusPref
5,STL,12,0.2,-0.0889,hetAltLocusPref
5,STM,12,0.2,-0.1951,hetAltLocusPref
5,STH,12,0.2,-0.1136,hetAltLocusPref
5,STL,13,0.2,-0.0426,hetAltLocusPref
5,STM,13,0.2,-0.1951,hetAltLocusPref
5,STH,13,0.2,-0.1264,hetAltLocusPref
5,STL,14,0.2,-0.0208,hetAltLocusPref
5,STM,14,0.2,-0.1529,hetAltLocusPref
5,STH,14,0.2,-0.0538,hetAltLocusPref
5,STL,15,0.2,-0.0208,hetAltLocusPref
5,STM,15,0.2,-0.1395,hetAltLocusPref
5,STH,15,0.2,-0.0103,hetAltLocusPref
5,STL,16,0.2,-0.0208,hetAltLocusPref
5,STM,16,0.2,-0.0095,hetAltLocusPref
5,STH,16,0.2,0,hetAltLocusPref
5,STL,17,0.2,-0.0103,hetAltLocusPref
5,STM,17,0.2,-0.1529,hetAltLocusPref
5,STH,17,0.2,NaN,hetAltLocusPref
5,STL,18,0.2,-0.0208,hetAltLocusPref
5,STM,18,0.2,-0.1136,hetAltLocusPref
5,STH,18,0.2,NaN,hetAltLocusPref
5,STL,19,0.2,NaN,hetAltLocusPref
5,STM,19,0.2,-0.0889,hetAltLocusPref
5,STH,19,0.2,NaN,hetAltLocusPref
5,STL,20,0.2,NaN,hetAltLocusPref
5,STM,20,0.2,-0.0889,hetAltLocusPref
5,STH,20,0.2,NaN,hetAltLocusPref
6,STL,1,0.2,-1,hetAltLocusPref
6,STM,1,0.2,-1,hetAltLocusPref
6,STH,1,0.2,-1,hetAltLocusPref
6,STL,2,0.2,-0.435,hetAltLocusPref
6,STM,2,0.2,-0.4073,hetAltLocusPref
6,STH,2,0.2,-0.6059,hetAltLocusPref
6,STL,3,0.2,-0.3022,hetAltLocusPref
6,STM,3,0.2,-0.5077,hetAltLocusPref
