replicate,pop,gen,disS,Fis,selModel
2,STH,15,0.6,-0.2405,incompHetPrefSel
2,STL,16,0.6,-0.2099,incompHetPrefSel
2,STM,16,0.6,-0.259,incompHetPrefSel
2,STH,16,0.6,-0.2405,incompHetPrefSel
2,STL,17,0.6,-0.1529,incompHetPrefSel
2,STM,17,0.6,-0.3067,incompHetPrefSel
2,STH,17,0.6,-0.1807,incompHetPrefSel
2,STL,18,0.6,-0.2099,incompHetPrefSel
2,STM,18,0.6,-0.2727,incompHetPrefSel
2,STH,18,0.6,-0.225,incompHetPrefSel
2,STL,19,0.6,-0.1529,incompHetPrefSel
2,STM,19,0.6,-0.2564,incompHetPrefSel
2,STH,19,0.6,-0.2895,incompHetPrefSel
2,STL,20,0.6,-0.2405,incompHetPrefSel
2,STM,20,0.6,-0.2727,incompHetPrefSel
2,STH,20,0.6,-0.2405,incompHetPrefSel
3,STL,1,0.6,-1,incompHetPrefSel
3,STM,1,0.6,-1,incompHetPrefSel
3,STH,1,0.6,-1,incompHetPrefSel
3,STL,2,0.6,-0.3022,incompHetPrefSel
3,STM,2,0.6,-0.4,incompHetPrefSel
3,STH,2,0.6,-0.4425,incompHetPrefSel
3,STL,3,0.6,-0.3425,incompHetPrefSel
3,STM,3,0.6,-0.2727,incompHetPrefSel
3,STH,3,0.6,-0.3611,incompHetPrefSel
3,STL,4,0.6,-0.2379,incompHetPrefSel
3,STM,4,0.6,-0.2895,incompHetPrefSel
3,STH,4,0.6,-0.2379,incompHetPrefSel
3,STL,5,0.6,-0.2171,incompHetPrefSel
3,STM,5,0.6,-0.2564,incompHetPrefSel
3,STH,5,0.6,-0.1807,incompHetPrefSel
3,STL,6,0.6,-0.3243,incompHetPrefSel
3,STM,6,0.6,-0.2564,incompHetPrefSel
3,STH,6,0.6,-0.1667,incompHetPrefSel
3,STL,7,0.6,-0.2895,incompHetPrefSel
3,STM,7,0.6,-0.1964,incompHetPrefSel
3,STH,7,0.6,-0.1951,incompHetPrefSel
3,STL,8,0.6,-0.2895,incompHetPrefSel
3,STM,8,0.6,-0.1667,incompHetPrefSel
3,STH,8,0.6,-0.2099,incompHetPrefSel
3,STL,9,0.6,-0.3611,incompHetPrefSel
3,STM,9,0.6,-0.1807,incompHetPrefSel
3,STH,9,0.6,-0.1807,incompHetPrefSel
3,STL,10,0.6,-0.3243,incompHetPrefSel
3,STM,10,0.6,-0.1557,incompHetPrefSel
3,STH,10,0.6,-0.2171,incompHetPrefSel
3,STL,11,0.6,-0.3243,incompHetPrefSel
3,STM,11,0.6,-0.2379,incompHetPrefSel
3,STH,11,0.6,-0.3022,incompHetPrefSel
3,STL,12,0.6,-0.1964,incompHetPrefSel
3,STM,12,0.6,-0.3243,incompHetPrefSel
3,STH,12,0.6,-0.115,incompHetPrefSel
3,STL,13,0.6,-0.2727,incompHetPrefSel
3,STM,13,0.6,-0.3425,incompHetPrefSel
3,STH,13,0.6,-0.225,incompHetPrefSel
3,STL,14,0.6,-0.3425,incompHetPrefSel
3,STM,14,0.6,-0.2564,incompHetPrefSel
3,STH,14,0.6,-0.176,incompHetPrefSel
3,STL,15,0.6,-0.2564,incompHetPrefSel
3,STM,15,0.6,-0.2895,incompHetPrefSel
3,STH,15,0.6,-0.0294,incompHetPrefSel
3,STL,16,0.6,-0.2895,incompHetPrefSel
3,STM,16,0.6,-0.3611,incompHetPrefSel
3,STH,16,0.6,-0.4177,incompHetPrefSel
3,STL,17,0.6,-0.2099,incompHetPrefSel
3,STM,17,0.6,-0.3243,incompHetPrefSel
3,STH,17,0.6,-0.3469,incompHetPrefSel
3,STL,18,0.6,-0.225,incompHetPrefSel
3,STM,18,0.6,-0.4,incompHetPrefSel
3,STH,18,0.6,-0.4848,incompHetPrefSel
3,STL,19,0.6,-0.2405,incompHetPrefSel
3,STM,19,0.6,-0.3469,incompHetPrefSel
3,STH,19,0.6,-0.3425,incompHetPrefSel
3,STL,20,0.6,-0.2727,incompHetPrefSel
3,STM,20,0.6,-0.4203,incompHetPrefSel
3,STH,20,0.6,-0.115,incompHetPrefSel
4,STL,1,0.6,-1,incompHetPrefSel
4,STM,1,0.6,-1,incompHetPrefSel
4,STH,1,0.6,-1,incompHetPrefSel
4,STL,2,0.6,-0.3025,incompHetPrefSel
4,STM,2,0.6,-0.5806,incompHetPrefSel
4,STH,2,0.6,-0.6066,incompHetPrefSel
4,STL,3,0.6,-0.3243,incompHetPrefSel
4,STM,3,0.6,-0.2895,incompHetPrefSel
4,STH,3,0.6,-0.4678,incompHetPrefSel
4,STL,4,0.6,-0.3067,incompHetPrefSel
4,STM,4,0.6,-0.3611,incompHetPrefSel
4,STH,4,0.6,-0.3243,incompHetPrefSel
4,STL,5,0.6,-0.3611,incompHetPrefSel
4,STM,5,0.6,-0.4,incompHetPrefSel
4,STH,5,0.6,-0.2115,incompHetPrefSel
4,STL,6,0.6,-0.2564,incompHetPrefSel
