replicate,pop,gen,disS,Fis,selModel
2,STL,11,0.4,-0.0538,incompHetPrefAltLocSel
2,STM,11,0.4,0.0907,incompHetPrefAltLocSel
2,STH,11,0.4,-0.1667,incompHetPrefAltLocSel
2,STL,12,0.4,-0.0208,incompHetPrefAltLocSel
2,STM,12,0.4,-0.1395,incompHetPrefAltLocSel
2,STH,12,0.4,-0.1529,incompHetPrefAltLocSel
2,STL,13,0.4,-0.0426,incompHetPrefAltLocSel
2,STM,13,0.4,-0.1136,incompHetPrefAltLocSel
2,STH,13,0.4,-0.1011,incompHetPrefAltLocSel
2,STL,14,0.4,-0.0208,incompHetPrefAltLocSel
2,STM,14,0.4,-0.0538,incompHetPrefAltLocSel
2,STH,14,0.4,-0.1011,incompHetPrefAltLocSel
2,STL,15,0.4,-0.0316,incompHetPrefAltLocSel
2,STM,15,0.4,-0.0538,incompHetPrefAltLocSel
2,STH,15,0.4,-0.0426,incompHetPrefAltLocSel
2,STL,16,0.4,-0.0316,incompHetPrefAltLocSel
2,STM,16,0.4,-0.0316,incompHetPrefAltLocSel
2,STH,16,0.4,0,incompHetPrefAltLocSel
2,STL,17,0.4,-0.0426,incompHetPrefAltLocSel
2,STM,17,0.4,0,incompHetPrefAltLocSel
2,STH,17,0.4,NaN,incompHetPrefAltLocSel
2,STL,18,0.4,-0.0208,incompHetPrefAltLocSel
2,STM,18,0.4,0,incompHetPrefAltLocSel
2,STH,18,0.4,NaN,incompHetPrefAltLocSel
2,STL,19,0.4,-0.0426,incompHetPrefAltLocSel
2,STM,19,0.4,0,incompHetPrefAltLocSel
2,STH,19,0.4,NaN,incompHetPrefAltLocSel
2,STL,20,0.4,-0.0538,incompHetPrefAltLocSel
2,STM,20,0.4,-0.0103,incompHetPrefAltLocSel
2,STH,20,0.4,NaN,incompHetPrefAltLocSel
3,STL,1,0.4,-1,incompHetPrefAltLocSel
3,STM,1,0.4,-1,incompHetPrefAltLocSel
3,STH,1,0.4,-1,incompHetPrefAltLocSel
3,STL,2,0.4,-0.3469,incompHetPrefAltLocSel
3,STM,2,0.4,-0.2285,incompHetPrefAltLocSel
3,STH,2,0.4,-0.4678,incompHetPrefAltLocSel
3,STL,3,0.4,-0.3425,incompHetPrefAltLocSel
3,STM,3,0.4,-0.176,incompHetPrefAltLocSel
3,STH,3,0.4,-0.3243,incompHetPrefAltLocSel
3,STL,4,0.4,-0.1807,incompHetPrefAltLocSel
3,STM,4,0.4,-0.1951,incompHetPrefAltLocSel
3,STH,4,0.4,-0.1964,incompHetPrefAltLocSel
3,STL,5,0.4,-0.1136,incompHetPrefAltLocSel
3,STM,5,0.4,-0.1667,incompHetPrefAltLocSel
3,STH,5,0.4,-0.2171,incompHetPrefAltLocSel
3,STL,6,0.4,-0.1264,incompHetPrefAltLocSel
3,STM,6,0.4,0.0134,incompHetPrefAltLocSel
3,STH,6,0.4,-0.2528,incompHetPrefAltLocSel
3,STL,7,0.4,-0.1264,incompHetPrefAltLocSel
3,STM,7,0.4,-0.0316,incompHetPrefAltLocSel
3,STH,7,0.4,-0.2379,incompHetPrefAltLocSel
3,STL,8,0.4,-0.1807,incompHetPrefAltLocSel
3,STM,8,0.4,-0.1807,incompHetPrefAltLocSel
3,STH,8,0.4,-0.176,incompHetPrefAltLocSel
3,STL,9,0.4,-0.1529,incompHetPrefAltLocSel
3,STM,9,0.4,-0.1807,incompHetPrefAltLocSel
3,STH,9,0.4,-0.1951,incompHetPrefAltLocSel
3,STL,10,0.4,-0.1264,incompHetPrefAltLocSel
3,STM,10,0.4,-0.1557,incompHetPrefAltLocSel
3,STH,10,0.4,0.0631,incompHetPrefAltLocSel
3,STL,11,0.4,-0.1136,incompHetPrefAltLocSel
3,STM,11,0.4,-0.1354,incompHetPrefAltLocSel
3,STH,11,0.4,-0.1011,incompHetPrefAltLocSel
3,STL,12,0.4,-0.2099,incompHetPrefAltLocSel
3,STM,12,0.4,-0.074,incompHetPrefAltLocSel
3,STH,12,0.4,0.0631,incompHetPrefAltLocSel
3,STL,13,0.4,-0.0769,incompHetPrefAltLocSel
3,STM,13,0.4,-0.053,incompHetPrefAltLocSel
3,STH,13,0.4,-0.1136,incompHetPrefAltLocSel
3,STL,14,0.4,-0.0889,incompHetPrefAltLocSel
3,STM,14,0.4,-0.074,incompHetPrefAltLocSel
3,STH,14,0.4,-0.0652,incompHetPrefAltLocSel
3,STL,15,0.4,-0.0538,incompHetPrefAltLocSel
3,STM,15,0.4,-0.1667,incompHetPrefAltLocSel
3,STH,15,0.4,-0.0769,incompHetPrefAltLocSel
3,STL,16,0.4,-0.0652,incompHetPrefAltLocSel
3,STM,16,0.4,-0.1807,incompHetPrefAltLocSel
3,STH,16,0.4,-0.0538,incompHetPrefAltLocSel
3,STL,17,0.4,-0.0426,incompHetPrefAltLocSel
3,STM,17,0.4,-0.1951,incompHetPrefAltLocSel
3,STH,17,0.4,-0.0652,incompHetPrefAltLocSel
3,STL,18,0.4,-0.0426,incompHetPrefAltLocSel
3,STM,18,0.4,-0.1395,incompHetPrefAltLocSel
3,STH,18,0.4,-0.0652,incompHetPrefAltLocSel
3,STL,19,0.4,-0.0208,incompHetPrefAltLocSel
3,STM,19,0.4,-0.0652,incompHetPrefAltLocSel
3,STH,19,0.4,-0.0316,incompHetPrefAltLocSel
3,STL,20,0.4,NaN,incompHetPrefAltLocSel
3,STM,20,0.4,-0.0426,incompHetPrefAltLocSel
3,STH,20,0.4,0,incompHetPrefAltLocSel
4,STL,1,0.4,-1,incompHetPrefAltLocSel
4,STM,1,0.4,-1,incompHetPrefAltLocSel
4,STH,1,0.4,-1,incompHetPrefAltLocSel
4,STL,2,0.4,-0.4633,incompHetPrefAltLocSel
4,STM,2,0.4,-0.4412,incompHetPrefAltLocSel
4,STH,2,0.4,-0.5312,incompHetPrefAltLocSel
4,STL,3,0.4,-0.2804,incompHetPrefAltLocSel
4,STM,3,0.4,-0.2099,incompHetPrefAltLocSel
4,STH,3,0.4,-0.176,incompHetPrefAltLocSel
4,STL,4,0.4,0.0101,incompHetPrefAltLocSel
4,STM,4,0.4,-0.1529,incompHetPrefAltLocSel
4,STH,4,0.4,-0.1264,incompHetPrefAltLocSel
4,STL,5,0.4,-0.1951,incompHetPrefAltLocSel
4,STM,5,0.4,-0.2099,incompHetPrefAltLocSel
4,STH,5,0.4,-0.1529,incompHetPrefAltLocSel
4,STL,6,0.4,-0.1529,incompHetPrefAltLocSel
4,STM,6,0.4,-0.1136,incompHetPrefAltLocSel
4,STH,6,0.4,-0.2099,incompHetPrefAltLocSel
4,STL,7,0.4,-0.1136,incompHetPrefAltLocSel
4,STM,7,0.4,-0.0652,incompHetPrefAltLocSel
4,STH,7,0.4,-0.2405,incompHetPrefAltLocSel
4,STL,8,0.4,-0.1136,incompHetPrefAltLocSel
4,STM,8,0.4,-0.0208,incompHetPrefAltLocSel
4,STH,8,0.4,-0.1011,incompHetPrefAltLocSel
4,STL,9,0.4,-0.1264,incompHetPrefAltLocSel
4,STM,9,0.4,-0.0208,incompHetPrefAltLocSel
4,STH,9,0.4,-0.0538,incompHetPrefAltLocSel
4,STL,10,0.4,-0.1529,incompHetPrefAltLocSel
4,STM,10,0.4,-0.0316,incompHetPrefAltLocSel
4,STH,10,0.4,-0.0652,incompHetPrefAltLocSel
4,STL,11,0.4,-0.1011,incompHetPrefAltLocSel
4,STM,11,0.4,-0.0426,incompHetPrefAltLocSel
4,STH,11,0.4,-0.0426,incompHetPrefAltLocSel
4,STL,12,0.4,-0.0426,incompHetPrefAltLocSel
4,STM,12,0.4,-0.0103,incompHetPrefAltLocSel
4,STH,12,0.4,-0.0316,incompHetPrefAltLocSel
4,STL,13,0.4,-0.0316,incompHetPrefAltLocSel
4,STM,13,0.4,0,incompHetPrefAltLocSel
4,STH,13,0.4,NaN,incompHetPrefAltLocSel
4,STL,14,0.4,NaN,incompHetPrefAltLocSel
4,STM,14,0.4,0,incompHetPrefAltLocSel
4,STH,14,0.4,NaN,incompHetPrefAltLocSel
4,STL,15,0.4,NaN,incompHetPrefAltLocSel
4,STM,15,0.4,0,incompHetPrefAltLocSel
4,STH,15,0.4,NaN,incompHetPrefAltLocSel
4,STL,16,0.4,NaN,incompHetPrefAltLocSel
4,STM,16,0.4,NaN,incompHetPrefAltLocSel
4,STH,16,0.4,NaN,incompHetPrefAltLocSel
4,STL,17,0.4,NaN,incompHetPrefAltLocSel
4,STM,17,0.4,NaN,incompHetPrefAltLocSel
4,STH,17,0.4,NaN,incompHetPrefAltLocSel
4,STL,18,0.4,NaN,incompHetPrefAltLocSel
4,STM,18,0.4,NaN,incompHetPrefAltLocSel
4,STH,18,0.4,NaN,incompHetPrefAltLocSel
4,STL,19,0.4,NaN,incompHetPrefAltLocSel
4,STM,19,0.4,NaN,incompHetPrefAltLocSel
4,STH,19,0.4,NaN,incompHetPrefAltLocSel
4,STL,20,0.4,NaN,incompHetPrefAltLocSel
4,STM,20,0.4,NaN,incompHetPrefAltLocSel
4,STH,20,0.4,NaN,incompHetPrefAltLocSel
5,STL,1,0.4,-1,incompHetPrefAltLocSel
5,STM,1,0.4,-1,incompHetPrefAltLocSel
5,STH,1,0.4,-1,incompHetPrefAltLocSel
5,STL,2,0.4,-0.4678,incompHetPrefAltLocSel
5,STM,2,0.4,-0.4412,incompHetPrefAltLocSel
5,STH,2,0.4,-0.3209,incompHetPrefAltLocSel
5,STL,3,0.4,-0.3803,incompHetPrefAltLocSel
5,STM,3,0.4,-0.1964,incompHetPrefAltLocSel
5,STH,3,0.4,-0.3243,incompHetPrefAltLocSel
5,STL,4,0.4,-0.1964,incompHetPrefAltLocSel
5,STM,4,0.4,-0.1951,incompHetPrefAltLocSel
5,STH,4,0.4,-0.1807,incompHetPrefAltLocSel
5,STL,5,0.4,-0.1964,incompHetPrefAltLocSel
5,STM,5,0.4,-0.1951,incompHetPrefAltLocSel
5,STH,5,0.4,-0.1951,incompHetPrefAltLocSel
5,STL,6,0.4,-0.2099,incompHetPrefAltLocSel
5,STM,6,0.4,-0.1395,incompHetPrefAltLocSel
5,STH,6,0.4,-0.1136,incompHetPrefAltLocSel
5,STL,7,0.4,-0.1951,incompHetPrefAltLocSel
5,STM,7,0.4,-0.1395,incompHetPrefAltLocSel
5,STH,7,0.4,0.1945,incompHetPrefAltLocSel
5,STL,8,0.4,0.0907,incompHetPrefAltLocSel
5,STM,8,0.4,-0.1011,incompHetPrefAltLocSel
5,STH,8,0.4,-0.0889,incompHetPrefAltLocSel
5,STL,9,0.4,-0.0538,incompHetPrefAltLocSel
5,STM,9,0.4,-0.0769,incompHetPrefAltLocSel
5,STH,9,0.4,-0.1264,incompHetPrefAltLocSel
5,STL,10,0.4,-0.0769,incompHetPrefAltLocSel
5,STM,10,0.4,-0.0652,incompHetPrefAltLocSel
5,STH,10,0.4,-0.0316,incompHetPrefAltLocSel
5,STL,11,0.4,-0.0538,incompHetPrefAltLocSel
5,STM,11,0.4,-0.0652,incompHetPrefAltLocSel
5,STH,11,0.4,-0.1951,incompHetPrefAltLocSel
5,STL,12,0.4,-0.0426,incompHetPrefAltLocSel
5,STM,12,0.4,-0.0889,incompHetPrefAltLocSel
5,STH,12,0.4,-0.1264,incompHetPrefAltLocSel
5,STL,13,0.4,-0.0426,incompHetPrefAltLocSel
5,STM,13,0.4,-0.0889,incompHetPrefAltLocSel
5,STH,13,0.4,-0.1264,incompHetPrefAltLocSel
5,STL,14,0.4,-0.0103,incompHetPrefAltLocSel
5,STM,14,0.4,-0.0769,incompHetPrefAltLocSel
5,STH,14,0.4,-0.0889,incompHetPrefAltLocSel
5,STL,15,0.4,-0.0103,incompHetPrefAltLocSel
5,STM,15,0.4,-0.0538,incompHetPrefAltLocSel
5,STH,15,0.4,-0.0538,incompHetPrefAltLocSel
5,STL,16,0.4,-0.0316,incompHetPrefAltLocSel
5,STM,16,0.4,-0.0208,incompHetPrefAltLocSel
5,STH,16,0.4,-0.0538,incompHetPrefAltLocSel
5,STL,17,0.4,-0.0208,incompHetPrefAltLocSel
5,STM,17,0.4,-0.0208,incompHetPrefAltLocSel
5,STH,17,0.4,-0.0889,incompHetPrefAltLocSel
5,STL,18,0.4,-0.0208,incompHetPrefAltLocSel
5,STM,18,0.4,-0.0103,incompHetPrefAltLocSel
5,STH,18,0.4,-0.0769,incompHetPrefAltLocSel
5,STL,19,0.4,-0.0208,incompHetPrefAltLocSel
5,STM,19,0.4,-0.0208,incompHetPrefAltLocSel
5,STH,19,0.4,-0.1011,incompHetPrefAltLocSel
5,STL,20,0.4,NaN,incompHetPrefAltLocSel
5,STM,20,0.4,NaN,incompHetPrefAltLocSel
5,STH,20,0.4,-0.0889,incompHetPrefAltLocSel
6,STL,1,0.4,-1,incompHetPrefAltLocSel
6,STM,1,0.4,-1,incompHetPrefAltLocSel
6,STH,1,0.4,-1,incompHetPrefAltLocSel
