replicate,pop,gen,disS,Fis,selModel
2,STM,14,0.91,-0.2895,incompDisSexDistSel
2,STH,14,0.91,-0.225,incompDisSexDistSel
2,STL,15,0.91,-0.225,incompDisSexDistSel
2,STM,15,0.91,-0.2099,incompDisSexDistSel
2,STH,15,0.91,-0.3243,incompDisSexDistSel
2,STL,16,0.91,-0.3803,incompDisSexDistSel
2,STM,16,0.91,-0.176,incompDisSexDistSel
2,STH,16,0.91,-0.2099,incompDisSexDistSel
2,STL,17,0.91,-0.176,incompDisSexDistSel
2,STM,17,0.91,-0.4203,incompDisSexDistSel
2,STH,17,0.91,-0.2895,incompDisSexDistSel
2,STL,18,0.91,-0.2564,incompDisSexDistSel
2,STM,18,0.91,-0.4203,incompDisSexDistSel
2,STH,18,0.91,-0.3425,incompDisSexDistSel
2,STL,19,0.91,-0.225,incompDisSexDistSel
2,STM,19,0.91,-0.4848,incompDisSexDistSel
2,STH,19,0.91,-0.2727,incompDisSexDistSel
2,STL,20,0.91,-0.3611,incompDisSexDistSel
2,STM,20,0.91,-0.3067,incompDisSexDistSel
2,STH,20,0.91,-0.3067,incompDisSexDistSel
3,STL,1,0.91,-1,incompDisSexDistSel
3,STM,1,0.91,-1,incompDisSexDistSel
3,STH,1,0.91,-1,incompDisSexDistSel
3,STL,2,0.91,-0.4627,incompDisSexDistSel
3,STM,2,0.91,-0.4388,incompDisSexDistSel
3,STH,2,0.91,-0.553,incompDisSexDistSel
3,STL,3,0.91,-0.3611,incompDisSexDistSel
3,STM,3,0.91,-0.2405,incompDisSexDistSel
3,STH,3,0.91,-0.3611,incompDisSexDistSel
3,STL,4,0.91,-0.3425,incompDisSexDistSel
3,STM,4,0.91,-0.3425,incompDisSexDistSel
3,STH,4,0.91,-0.2895,incompDisSexDistSel
3,STL,5,0.91,-0.225,incompDisSexDistSel
3,STM,5,0.91,-0.3803,incompDisSexDistSel
3,STH,5,0.91,-0.3611,incompDisSexDistSel
3,STL,6,0.91,-0.3067,incompDisSexDistSel
3,STM,6,0.91,-0.2895,incompDisSexDistSel
3,STH,6,0.91,-0.3425,incompDisSexDistSel
3,STL,7,0.91,-0.2099,incompDisSexDistSel
3,STM,7,0.91,-0.2564,incompDisSexDistSel
3,STH,7,0.91,-0.2564,incompDisSexDistSel
3,STL,8,0.91,-0.1951,incompDisSexDistSel
3,STM,8,0.91,-0.2099,incompDisSexDistSel
3,STH,8,0.91,-0.225,incompDisSexDistSel
3,STL,9,0.91,-0.2405,incompDisSexDistSel
3,STM,9,0.91,-0.3067,incompDisSexDistSel
3,STH,9,0.91,-0.2564,incompDisSexDistSel
3,STL,10,0.91,-0.2895,incompDisSexDistSel
3,STM,10,0.91,-0.3425,incompDisSexDistSel
3,STH,10,0.91,-0.3803,incompDisSexDistSel
3,STL,11,0.91,-0.2727,incompDisSexDistSel
3,STM,11,0.91,-0.2727,incompDisSexDistSel
3,STH,11,0.91,-0.1807,incompDisSexDistSel
3,STL,12,0.91,-0.3067,incompDisSexDistSel
3,STM,12,0.91,-0.2099,incompDisSexDistSel
3,STH,12,0.91,-0.3425,incompDisSexDistSel
3,STL,13,0.91,-0.2564,incompDisSexDistSel
3,STM,13,0.91,-0.2099,incompDisSexDistSel
3,STH,13,0.91,-0.3067,incompDisSexDistSel
3,STL,14,0.91,-0.3425,incompDisSexDistSel
3,STM,14,0.91,-0.2727,incompDisSexDistSel
3,STH,14,0.91,-0.3067,incompDisSexDistSel
3,STL,15,0.91,-0.3611,incompDisSexDistSel
3,STM,15,0.91,-0.3243,incompDisSexDistSel
3,STH,15,0.91,-0.4,incompDisSexDistSel
3,STL,16,0.91,-0.2405,incompDisSexDistSel
3,STM,16,0.91,-0.3067,incompDisSexDistSel
