replicate,pop,gen,odomS,Fis,selModel
2,STL,20,0.2,0.0375,incompODomSel
2,STM,20,0.2,-0.1136,incompODomSel
2,STH,20,0.2,-0.1011,incompODomSel
3,STL,1,0.2,-1,incompODomSel
3,STM,1,0.2,-1,incompODomSel
3,STH,1,0.2,-1,incompODomSel
3,STL,2,0.2,-0.6066,incompODomSel
3,STM,2,0.2,-0.553,incompODomSel
3,STH,2,0.2,-0.553,incompODomSel
3,STL,3,0.2,-0.4203,incompODomSel
3,STM,3,0.2,-0.37,incompODomSel
3,STH,3,0.2,-0.4203,incompODomSel
3,STL,4,0.2,-0.4203,incompODomSel
3,STM,4,0.2,-0.3243,incompODomSel
3,STH,4,0.2,-0.1807,incompODomSel
3,STL,5,0.2,-0.3425,incompODomSel
3,STM,5,0.2,-0.2379,incompODomSel
3,STH,5,0.2,-0.4203,incompODomSel
3,STL,6,0.2,-0.1354,incompODomSel
3,STM,6,0.2,-0.2727,incompODomSel
3,STH,6,0.2,-0.37,incompODomSel
3,STL,7,0.2,-0.2405,incompODomSel
3,STM,7,0.2,-0.225,incompODomSel
3,STH,7,0.2,-0.3243,incompODomSel
3,STL,8,0.2,-0.1807,incompODomSel
3,STM,8,0.2,-0.3243,incompODomSel
3,STH,8,0.2,-0.3611,incompODomSel
3,STL,9,0.2,-0.1667,incompODomSel
3,STM,9,0.2,-0.3022,incompODomSel
3,STH,9,0.2,-0.3243,incompODomSel
3,STL,10,0.2,-0.1395,incompODomSel
3,STM,10,0.2,-0.4,incompODomSel
3,STH,10,0.2,-0.3803,incompODomSel
3,STL,11,0.2,-0.1264,incompODomSel
3,STM,11,0.2,-0.37,incompODomSel
3,STH,11,0.2,-0.1557,incompODomSel
3,STL,12,0.2,-0.1264,incompODomSel
3,STM,12,0.2,-0.37,incompODomSel
3,STH,12,0.2,-0.2727,incompODomSel
3,STL,13,0.2,-0.225,incompODomSel
3,STM,13,0.2,-0.2171,incompODomSel
3,STH,13,0.2,-0.225,incompODomSel
3,STL,14,0.2,-0.2405,incompODomSel
3,STM,14,0.2,-0.1807,incompODomSel
3,STH,14,0.2,-0.3803,incompODomSel
3,STL,15,0.2,-0.1667,incompODomSel
3,STM,15,0.2,-0.1529,incompODomSel
3,STH,15,0.2,-0.1557,incompODomSel
3,STL,16,0.2,-0.1264,incompODomSel
3,STM,16,0.2,-0.0946,incompODomSel
3,STH,16,0.2,-0.2895,incompODomSel
3,STL,17,0.2,-0.2099,incompODomSel
3,STM,17,0.2,-0.1557,incompODomSel
3,STH,17,0.2,-0.1557,incompODomSel
3,STL,18,0.2,-0.1807,incompODomSel
