replicate,pop,gen,odomS,Fis,selModel
2,STL,20,0.6,-0.6066,incompODomSel
2,STM,20,0.6,-0.5556,incompODomSel
2,STH,20,0.6,-0.5766,incompODomSel
3,STL,1,0.6,-1,incompODomSel
3,STM,1,0.6,-1,incompODomSel
3,STH,1,0.6,-1,incompODomSel
3,STL,2,0.6,-0.5846,incompODomSel
3,STM,2,0.6,-0.5223,incompODomSel
3,STH,2,0.6,-0.6361,incompODomSel
3,STL,3,0.6,-0.5482,incompODomSel
3,STM,3,0.6,-0.553,incompODomSel
3,STH,3,0.6,-0.4073,incompODomSel
3,STL,4,0.6,-0.5077,incompODomSel
3,STM,4,0.6,-0.6333,incompODomSel
3,STH,4,0.6,-0.5482,incompODomSel
3,STL,5,0.6,-0.47,incompODomSel
3,STM,5,0.6,-0.2929,incompODomSel
3,STH,5,0.6,-0.5806,incompODomSel
3,STL,6,0.6,-0.6672,incompODomSel
3,STM,6,0.6,-0.4678,incompODomSel
3,STH,6,0.6,-0.4939,incompODomSel
3,STL,7,0.6,-0.6059,incompODomSel
3,STM,7,0.6,-0.4678,incompODomSel
3,STH,7,0.6,-0.5223,incompODomSel
3,STL,8,0.6,-0.4924,incompODomSel
3,STM,8,0.6,-0.661,incompODomSel
3,STH,8,0.6,-0.4939,incompODomSel
3,STL,9,0.6,-0.5766,incompODomSel
3,STM,9,0.6,-0.5766,incompODomSel
3,STH,9,0.6,-0.4412,incompODomSel
3,STL,10,0.6,-0.435,incompODomSel
3,STM,10,0.6,-0.4083,incompODomSel
3,STH,10,0.6,-0.4848,incompODomSel
3,STL,11,0.6,-0.4678,incompODomSel
3,STM,11,0.6,-0.5482,incompODomSel
3,STH,11,0.6,-0.6066,incompODomSel
3,STL,12,0.6,-0.6066,incompODomSel
3,STM,12,0.6,-0.2929,incompODomSel
3,STH,12,0.6,-0.5312,incompODomSel
3,STL,13,0.6,-0.7193,incompODomSel
3,STM,13,0.6,-0.5766,incompODomSel
3,STH,13,0.6,-0.5312,incompODomSel
3,STL,14,0.6,-0.6672,incompODomSel
3,STM,14,0.6,-0.6672,incompODomSel
3,STH,14,0.6,-0.5312,incompODomSel
3,STL,15,0.6,-0.5766,incompODomSel
3,STM,15,0.6,-0.8491,incompODomSel
3,STH,15,0.6,-0.4633,incompODomSel
3,STL,16,0.6,-0.5846,incompODomSel
3,STM,16,0.6,-0.5482,incompODomSel
3,STH,16,0.6,-0.4939,incompODomSel
3,STL,17,0.6,-0.4939,incompODomSel
3,STM,17,0.6,-0.661,incompODomSel
3,STH,17,0.6,-0.6172,incompODomSel
3,STL,18,0.6,-0.3494,incompODomSel
3,STM,18,0.6,-0.7214,incompODomSel
3,STH,18,0.6,-0.6897,incompODomSel
3,STL,19,0.6,-0.5766,incompODomSel
3,STM,19,0.6,-0.6333,incompODomSel
3,STH,19,0.6,-0.5312,incompODomSel
3,STL,20,0.6,-0.6672,incompODomSel
3,STM,20,0.6,-0.5482,incompODomSel
3,STH,20,0.6,-0.4939,incompODomSel
4,STL,1,0.6,-1,incompODomSel
4,STM,1,0.6,-1,incompODomSel
4,STH,1,0.6,-1,incompODomSel
4,STL,2,0.6,-0.6172,incompODomSel
4,STM,2,0.6,-0.6773,incompODomSel
4,STH,2,0.6,-0.7672,incompODomSel
4,STL,3,0.6,-0.7672,incompODomSel
4,STM,3,0.6,-0.6059,incompODomSel
4,STH,3,0.6,-0.4341,incompODomSel
