replicate,pop,gen,odomS,Fis,selModel
1,STL,1,0.4,-1,incompODomSel
1,STM,1,0.4,-1,incompODomSel
1,STH,1,0.4,-1,incompODomSel
1,STL,2,0.4,-0.553,incompODomSel
1,STM,2,0.4,-0.4057,incompODomSel
1,STH,2,0.4,-0.6039,incompODomSel
1,STL,3,0.4,-0.37,incompODomSel
1,STM,3,0.4,-0.3803,incompODomSel
1,STH,3,0.4,-0.6039,incompODomSel
1,STL,4,0.4,-0.2775,incompODomSel
1,STM,4,0.4,-0.6333,incompODomSel
1,STH,4,0.4,-0.553,incompODomSel
1,STL,5,0.4,-0.6066,incompODomSel
1,STM,5,0.4,-0.6361,incompODomSel
1,STH,5,0.4,-0.4073,incompODomSel
1,STL,6,0.4,-0.5482,incompODomSel
1,STM,6,0.4,-0.37,incompODomSel
1,STH,6,0.4,-0.5766,incompODomSel
1,STL,7,0.4,-0.5312,incompODomSel
1,STM,7,0.4,-0.4425,incompODomSel
1,STH,7,0.4,-0.5207,incompODomSel
1,STL,8,0.4,-0.3936,incompODomSel
1,STM,8,0.4,-0.5556,incompODomSel
1,STH,8,0.4,-0.6361,incompODomSel
1,STL,9,0.4,-0.435,incompODomSel
1,STM,9,0.4,-0.435,incompODomSel
1,STH,9,0.4,-0.4924,incompODomSel
1,STL,10,0.4,-0.3022,incompODomSel
1,STM,10,0.4,-0.2528,incompODomSel
1,STH,10,0.4,-0.177,incompODomSel
1,STL,11,0.4,-0.6066,incompODomSel
1,STM,11,0.4,-0.37,incompODomSel
1,STH,11,0.4,-0.5312,incompODomSel
1,STL,12,0.4,-0.4412,incompODomSel
1,STM,12,0.4,-0.2775,incompODomSel
1,STH,12,0.4,-0.3425,incompODomSel
1,STL,13,0.4,-0.2775,incompODomSel
1,STM,13,0.4,-0.3243,incompODomSel
1,STH,13,0.4,-0.2895,incompODomSel
1,STL,14,0.4,-0.2804,incompODomSel
1,STM,14,0.4,-0.3936,incompODomSel
1,STH,14,0.4,-0.3425,incompODomSel
1,STL,15,0.4,-0.4412,incompODomSel
1,STM,15,0.4,-0.4848,incompODomSel
1,STH,15,0.4,-0.4412,incompODomSel
1,STL,16,0.4,-0.2528,incompODomSel
1,STM,16,0.4,-0.37,incompODomSel
1,STH,16,0.4,-0.4177,incompODomSel
1,STL,17,0.4,-0.5077,incompODomSel
1,STM,17,0.4,-0.4848,incompODomSel
1,STH,17,0.4,-0.4627,incompODomSel
1,STL,18,0.4,-0.4203,incompODomSel
1,STM,18,0.4,-0.5077,incompODomSel
1,STH,18,0.4,-0.3279,incompODomSel
1,STL,19,0.4,-0.2528,incompODomSel
1,STM,19,0.4,-0.5077,incompODomSel
1,STH,19,0.4,-0.4,incompODomSel
1,STL,20,0.4,-0.4177,incompODomSel
1,STM,20,0.4,-0.3425,incompODomSel
1,STH,20,0.4,-0.1329,incompODomSel
2,STL,1,0.4,-1,incompODomSel
2,STM,1,0.4,-1,incompODomSel
2,STH,1,0.4,-1,incompODomSel
2,STL,2,0.4,-0.6508,incompODomSel
2,STM,2,0.4,-0.6361,incompODomSel
2,STH,2,0.4,-0.5207,incompODomSel
2,STL,3,0.4,-0.3785,incompODomSel
2,STM,3,0.4,-0.37,incompODomSel
2,STH,3,0.4,-0.4412,incompODomSel
2,STL,4,0.4,-0.5312,incompODomSel
2,STM,4,0.4,-0.4412,incompODomSel
