replicate,pop,gen,disS,Fis,selModel
2,STH,19,0.2,-0.0538,incompDisSel
2,STL,20,0.2,-0.0889,incompDisSel
2,STM,20,0.2,-0.1951,incompDisSel
2,STH,20,0.2,-0.0538,incompDisSel
3,STL,1,0.2,-1,incompDisSel
3,STM,1,0.2,-1,incompDisSel
3,STH,1,0.2,-1,incompDisSel
3,STL,2,0.2,-0.3538,incompDisSel
3,STM,2,0.2,-0.4848,incompDisSel
3,STH,2,0.2,-0.5482,incompDisSel
3,STL,3,0.2,-0.2379,incompDisSel
3,STM,3,0.2,-0.1557,incompDisSel
3,STH,3,0.2,-0.3611,incompDisSel
3,STL,4,0.2,-0.2171,incompDisSel
3,STM,4,0.2,-0.1557,incompDisSel
3,STH,4,0.2,-0.1951,incompDisSel
3,STL,5,0.2,-0.1951,incompDisSel
3,STM,5,0.2,-0.2564,incompDisSel
3,STH,5,0.2,-0.1264,incompDisSel
3,STL,6,0.2,-0.1264,incompDisSel
3,STM,6,0.2,-0.3067,incompDisSel
3,STH,6,0.2,-0.0769,incompDisSel
3,STL,7,0.2,-0.1136,incompDisSel
3,STM,7,0.2,-0.225,incompDisSel
3,STH,7,0.2,-0.0652,incompDisSel
3,STL,8,0.2,-0.1011,incompDisSel
3,STM,8,0.2,-0.3067,incompDisSel
3,STH,8,0.2,-0.0769,incompDisSel
3,STL,9,0.2,-0.1667,incompDisSel
3,STM,9,0.2,-0.2804,incompDisSel
3,STH,9,0.2,-0.0769,incompDisSel
3,STL,10,0.2,-0.1011,incompDisSel
3,STM,10,0.2,-0.2405,incompDisSel
3,STH,10,0.2,-0.0538,incompDisSel
3,STL,11,0.2,-0.0538,incompDisSel
3,STM,11,0.2,-0.1951,incompDisSel
3,STH,11,0.2,-0.0889,incompDisSel
3,STL,12,0.2,-0.0538,incompDisSel
3,STM,12,0.2,-0.1395,incompDisSel
3,STH,12,0.2,-0.0769,incompDisSel
3,STL,13,0.2,-0.1011,incompDisSel
3,STM,13,0.2,-0.1136,incompDisSel
3,STH,13,0.2,-0.1136,incompDisSel
3,STL,14,0.2,-0.0652,incompDisSel
3,STM,14,0.2,-0.0889,incompDisSel
3,STH,14,0.2,-0.1395,incompDisSel
3,STL,15,0.2,-0.0769,incompDisSel
3,STM,15,0.2,-0.0769,incompDisSel
3,STH,15,0.2,-0.1667,incompDisSel
3,STL,16,0.2,-0.0769,incompDisSel
3,STM,16,0.2,-0.0652,incompDisSel
3,STH,16,0.2,-0.1951,incompDisSel
3,STL,17,0.2,-0.0889,incompDisSel
3,STM,17,0.2,-0.0538,incompDisSel
3,STH,17,0.2,-0.2099,incompDisSel
3,STL,18,0.2,-0.0652,incompDisSel
3,STM,18,0.2,-0.0208,incompDisSel
3,STH,18,0.2,-0.1395,incompDisSel
3,STL,19,0.2,-0.0889,incompDisSel
3,STM,19,0.2,-0.0208,incompDisSel
3,STH,19,0.2,-0.1667,incompDisSel
3,STL,20,0.2,-0.0769,incompDisSel
3,STM,20,0.2,-0.0208,incompDisSel
3,STH,20,0.2,0.0134,incompDisSel
4,STL,1,0.2,-1,incompDisSel
4,STM,1,0.2,-1,incompDisSel
4,STH,1,0.2,-1,incompDisSel
4,STL,2,0.2,-0.3803,incompDisSel
4,STM,2,0.2,-0.5077,incompDisSel
4,STH,2,0.2,-0.2383,incompDisSel
4,STL,3,0.2,-0.11,incompDisSel
4,STM,3,0.2,-0.2379,incompDisSel
4,STH,3,0.2,-0.3611,incompDisSel
4,STL,4,0.2,-0.225,incompDisSel
4,STM,4,0.2,-0.3611,incompDisSel
4,STH,4,0.2,-0.2405,incompDisSel
4,STL,5,0.2,-0.225,incompDisSel
4,STM,5,0.2,-0.2099,incompDisSel
4,STH,5,0.2,-0.2405,incompDisSel
4,STL,6,0.2,-0.1807,incompDisSel
4,STM,6,0.2,-0.225,incompDisSel
4,STH,6,0.2,-0.2727,incompDisSel
4,STL,7,0.2,0.1171,incompDisSel
4,STM,7,0.2,-0.1529,incompDisSel
4,STH,7,0.2,-0.1807,incompDisSel
4,STL,8,0.2,-0.1667,incompDisSel
4,STM,8,0.2,-0.1011,incompDisSel
4,STH,8,0.2,-0.1264,incompDisSel
4,STL,9,0.2,-0.1807,incompDisSel
4,STM,9,0.2,-0.1807,incompDisSel
4,STH,9,0.2,-0.1951,incompDisSel
4,STL,10,0.2,-0.1529,incompDisSel
4,STM,10,0.2,-0.1529,incompDisSel
4,STH,10,0.2,-0.1557,incompDisSel
4,STL,11,0.2,-0.1136,incompDisSel
4,STM,11,0.2,-0.1264,incompDisSel
4,STH,11,0.2,-0.2099,incompDisSel
4,STL,12,0.2,-0.1264,incompDisSel
4,STM,12,0.2,-0.0769,incompDisSel
4,STH,12,0.2,-0.1951,incompDisSel
4,STL,13,0.2,-0.1807,incompDisSel
4,STM,13,0.2,-0.1011,incompDisSel
4,STH,13,0.2,-0.2099,incompDisSel
4,STL,14,0.2,-0.1529,incompDisSel
4,STM,14,0.2,-0.0538,incompDisSel
4,STH,14,0.2,-0.1951,incompDisSel
4,STL,15,0.2,-0.1395,incompDisSel
4,STM,15,0.2,-0.0316,incompDisSel
4,STH,15,0.2,-0.1951,incompDisSel
4,STL,16,0.2,-0.1529,incompDisSel
4,STM,16,0.2,-0.0769,incompDisSel
4,STH,16,0.2,-0.1951,incompDisSel
4,STL,17,0.2,-0.1264,incompDisSel
4,STM,17,0.2,-0.0426,incompDisSel
4,STH,17,0.2,-0.1951,incompDisSel
4,STL,18,0.2,-0.1395,incompDisSel
4,STM,18,0.2,-0.0426,incompDisSel
4,STH,18,0.2,-0.1807,incompDisSel
4,STL,19,0.2,-0.1807,incompDisSel
4,STM,19,0.2,-0.0652,incompDisSel
4,STH,19,0.2,-0.1529,incompDisSel
4,STL,20,0.2,-0.1807,incompDisSel
4,STM,20,0.2,-0.0769,incompDisSel
4,STH,20,0.2,-0.1807,incompDisSel
5,STL,1,0.2,-1,incompDisSel
5,STM,1,0.2,-1,incompDisSel
5,STH,1,0.2,-1,incompDisSel
5,STL,2,0.2,-0.4939,incompDisSel
5,STM,2,0.2,-0.3936,incompDisSel
5,STH,2,0.2,-0.4678,incompDisSel
5,STL,3,0.2,-0.3611,incompDisSel
5,STM,3,0.2,-0.3243,incompDisSel
5,STH,3,0.2,-0.2379,incompDisSel
5,STL,4,0.2,-0.3067,incompDisSel
5,STM,4,0.2,-0.4203,incompDisSel
5,STH,4,0.2,-0.2727,incompDisSel
5,STL,5,0.2,-0.2099,incompDisSel
5,STM,5,0.2,-0.2564,incompDisSel
5,STH,5,0.2,-0.2099,incompDisSel
5,STL,6,0.2,-0.1807,incompDisSel
5,STM,6,0.2,-0.1807,incompDisSel
5,STH,6,0.2,-0.2564,incompDisSel
5,STL,7,0.2,-0.1136,incompDisSel
5,STM,7,0.2,-0.1807,incompDisSel
5,STH,7,0.2,-0.1667,incompDisSel
5,STL,8,0.2,-0.0538,incompDisSel
5,STM,8,0.2,-0.0769,incompDisSel
5,STH,8,0.2,-0.1136,incompDisSel
5,STL,9,0.2,-0.0652,incompDisSel
5,STM,9,0.2,-0.0889,incompDisSel
5,STH,9,0.2,-0.0426,incompDisSel
5,STL,10,0.2,-0.0769,incompDisSel
5,STM,10,0.2,-0.1136,incompDisSel
5,STH,10,0.2,-0.0103,incompDisSel
5,STL,11,0.2,-0.0652,incompDisSel
5,STM,11,0.2,-0.0769,incompDisSel
5,STH,11,0.2,0,incompDisSel
5,STL,12,0.2,-0.0652,incompDisSel
5,STM,12,0.2,-0.1011,incompDisSel
5,STH,12,0.2,0,incompDisSel
5,STL,13,0.2,-0.0426,incompDisSel
5,STM,13,0.2,-0.1667,incompDisSel
5,STH,13,0.2,-0.0208,incompDisSel
5,STL,14,0.2,-0.0538,incompDisSel
5,STM,14,0.2,0.0907,incompDisSel
5,STH,14,0.2,-0.0426,incompDisSel
5,STL,15,0.2,-0.0538,incompDisSel
5,STM,15,0.2,-0.1011,incompDisSel
5,STH,15,0.2,-0.0426,incompDisSel
5,STL,16,0.2,-0.0426,incompDisSel
5,STM,16,0.2,-0.1264,incompDisSel
5,STH,16,0.2,-0.0316,incompDisSel
5,STL,17,0.2,-0.0426,incompDisSel
5,STM,17,0.2,-0.0652,incompDisSel
5,STH,17,0.2,-0.1011,incompDisSel
5,STL,18,0.2,-0.0208,incompDisSel
5,STM,18,0.2,-0.0538,incompDisSel
5,STH,18,0.2,-0.0652,incompDisSel
5,STL,19,0.2,-0.0316,incompDisSel
5,STM,19,0.2,-0.0889,incompDisSel
5,STH,19,0.2,-0.1264,incompDisSel
5,STL,20,0.2,-0.1136,incompDisSel
5,STM,20,0.2,-0.1011,incompDisSel
5,STH,20,0.2,-0.1136,incompDisSel
6,STL,1,0.2,-1,incompDisSel
6,STM,1,0.2,-1,incompDisSel
6,STH,1,0.2,-1,incompDisSel
6,STL,2,0.2,-0.5077,incompDisSel
6,STM,2,0.2,-0.5806,incompDisSel
6,STH,2,0.2,-0.4177,incompDisSel
6,STL,3,0.2,-0.37,incompDisSel
6,STM,3,0.2,-0.4627,incompDisSel
6,STH,3,0.2,-0.4848,incompDisSel
6,STL,4,0.2,-0.4,incompDisSel
6,STM,4,0.2,-0.3611,incompDisSel
6,STH,4,0.2,-0.3067,incompDisSel
6,STL,5,0.2,-0.259,incompDisSel
6,STM,5,0.2,-0.2171,incompDisSel
6,STH,5,0.2,-0.1951,incompDisSel
6,STL,6,0.2,-0.115,incompDisSel
6,STM,6,0.2,-0.2895,incompDisSel
6,STH,6,0.2,-0.1951,incompDisSel
6,STL,7,0.2,-0.2727,incompDisSel
6,STM,7,0.2,-0.2405,incompDisSel
6,STH,7,0.2,-0.1951,incompDisSel
6,STL,8,0.2,-0.2895,incompDisSel
6,STM,8,0.2,-0.225,incompDisSel
6,STH,8,0.2,-0.1807,incompDisSel
6,STL,9,0.2,-0.1529,incompDisSel
6,STM,9,0.2,-0.2405,incompDisSel
6,STH,9,0.2,-0.1395,incompDisSel
6,STL,10,0.2,-0.1807,incompDisSel
6,STM,10,0.2,-0.1951,incompDisSel
6,STH,10,0.2,0.0631,incompDisSel
6,STL,11,0.2,-0.1395,incompDisSel
6,STM,11,0.2,-0.0769,incompDisSel
6,STH,11,0.2,-0.1395,incompDisSel
6,STL,12,0.2,-0.0652,incompDisSel
6,STM,12,0.2,-0.0652,incompDisSel
