replicate,pop,gen,odomS,H0,selModel
1,STL,1,0.2,1,incompODomSexDistSel
1,STM,1,0.2,1,incompODomSexDistSel
1,STH,1,0.2,1,incompODomSexDistSel
1,STL,2,0.2,0.82,incompODomSexDistSel
1,STM,2,0.2,0.62,incompODomSexDistSel
1,STH,2,0.2,0.64,incompODomSexDistSel
1,STL,3,0.2,0.56,incompODomSexDistSel
1,STM,3,0.2,0.64,incompODomSexDistSel
1,STH,3,0.2,0.6,incompODomSexDistSel
1,STL,4,0.2,0.44,incompODomSexDistSel
1,STM,4,0.2,0.54,incompODomSexDistSel
1,STH,4,0.2,0.48,incompODomSexDistSel
1,STL,5,0.2,0.42,incompODomSexDistSel
1,STM,5,0.2,0.54,incompODomSexDistSel
1,STH,5,0.2,0.36,incompODomSexDistSel
1,STL,6,0.2,0.32,incompODomSexDistSel
1,STM,6,0.2,0.56,incompODomSexDistSel
1,STH,6,0.2,0.3,incompODomSexDistSel
1,STL,7,0.2,0.34,incompODomSexDistSel
1,STM,7,0.2,0.48,incompODomSexDistSel
1,STH,7,0.2,0.3,incompODomSexDistSel
1,STL,8,0.2,0.32,incompODomSexDistSel
1,STM,8,0.2,0.34,incompODomSexDistSel
1,STH,8,0.2,0.34,incompODomSexDistSel
1,STL,9,0.2,0.44,incompODomSexDistSel
1,STM,9,0.2,0.42,incompODomSexDistSel
1,STH,9,0.2,0.26,incompODomSexDistSel
1,STL,10,0.2,0.38,incompODomSexDistSel
1,STM,10,0.2,0.44,incompODomSexDistSel
1,STH,10,0.2,0.22,incompODomSexDistSel
1,STL,11,0.2,0.32,incompODomSexDistSel
1,STM,11,0.2,0.42,incompODomSexDistSel
1,STH,11,0.2,0.14,incompODomSexDistSel
1,STL,12,0.2,0.26,incompODomSexDistSel
1,STM,12,0.2,0.32,incompODomSexDistSel
1,STH,12,0.2,0.16,incompODomSexDistSel
1,STL,13,0.2,0.22,incompODomSexDistSel
1,STM,13,0.2,0.22,incompODomSexDistSel
1,STH,13,0.2,0.16,incompODomSexDistSel
1,STL,14,0.2,0.32,incompODomSexDistSel
1,STM,14,0.2,0.22,incompODomSexDistSel
1,STH,14,0.2,0.28,incompODomSexDistSel
1,STL,15,0.2,0.28,incompODomSexDistSel
1,STM,15,0.2,0.24,incompODomSexDistSel
1,STH,15,0.2,0.2,incompODomSexDistSel
1,STL,16,0.2,0.2,incompODomSexDistSel
1,STM,16,0.2,0.3,incompODomSexDistSel
1,STH,16,0.2,0.24,incompODomSexDistSel
1,STL,17,0.2,0.22,incompODomSexDistSel
1,STM,17,0.2,0.3,incompODomSexDistSel
1,STH,17,0.2,0.32,incompODomSexDistSel
1,STL,18,0.2,0.4,incompODomSexDistSel
1,STM,18,0.2,0.34,incompODomSexDistSel
1,STH,18,0.2,0.34,incompODomSexDistSel
1,STL,19,0.2,0.36,incompODomSexDistSel
1,STM,19,0.2,0.4,incompODomSexDistSel
1,STH,19,0.2,0.34,incompODomSexDistSel
1,STL,20,0.2,0.36,incompODomSexDistSel
1,STM,20,0.2,0.44,incompODomSexDistSel
1,STH,20,0.2,0.42,incompODomSexDistSel
2,STL,1,0.2,1,incompODomSexDistSel
2,STM,1,0.2,1,incompODomSexDistSel
2,STH,1,0.2,1,incompODomSexDistSel
2,STL,2,0.2,0.76,incompODomSexDistSel
2,STM,2,0.2,0.68,incompODomSexDistSel
2,STH,2,0.2,0.86,incompODomSexDistSel
2,STL,3,0.2,0.7,incompODomSexDistSel
2,STM,3,0.2,0.54,incompODomSexDistSel
2,STH,3,0.2,0.6,incompODomSexDistSel
2,STL,4,0.2,0.6,incompODomSexDistSel
2,STM,4,0.2,0.52,incompODomSexDistSel
