replicate,pop,gen,V4,selModel
3,STM,4,-0.1951,incompSexDistSel
3,STH,4,-0.1354,incompSexDistSel
3,STL,5,-0.2099,incompSexDistSel
3,STM,5,-0.1395,incompSexDistSel
3,STH,5,-0.2099,incompSexDistSel
3,STL,6,-0.2405,incompSexDistSel
3,STM,6,-0.1136,incompSexDistSel
3,STH,6,-0.1136,incompSexDistSel
3,STL,7,-0.1667,incompSexDistSel
3,STM,7,-0.0316,incompSexDistSel
3,STH,7,-0.0538,incompSexDistSel
3,STL,8,-0.225,incompSexDistSel
3,STM,8,-0.0316,incompSexDistSel
3,STH,8,-0.0103,incompSexDistSel
3,STL,9,-0.1011,incompSexDistSel
3,STM,9,-0.0103,incompSexDistSel
3,STH,9,-0.0208,incompSexDistSel
3,STL,10,-0.0889,incompSexDistSel
3,STM,10,0,incompSexDistSel
3,STH,10,-0.0316,incompSexDistSel
3,STL,11,-0.0538,incompSexDistSel
3,STM,11,0,incompSexDistSel
3,STH,11,-0.0426,incompSexDistSel
3,STL,12,-0.0426,incompSexDistSel
3,STM,12,NaN,incompSexDistSel
3,STH,12,-0.0652,incompSexDistSel
3,STL,13,-0.0316,incompSexDistSel
3,STM,13,NaN,incompSexDistSel
3,STH,13,-0.0769,incompSexDistSel
3,STL,14,-0.0316,incompSexDistSel
3,STM,14,NaN,incompSexDistSel
3,STH,14,-0.0652,incompSexDistSel
3,STL,15,-0.0208,incompSexDistSel
3,STM,15,NaN,incompSexDistSel
3,STH,15,-0.0652,incompSexDistSel
3,STL,16,-0.0426,incompSexDistSel
3,STM,16,NaN,incompSexDistSel
3,STH,16,-0.0538,incompSexDistSel
3,STL,17,0,incompSexDistSel
3,STM,17,NaN,incompSexDistSel
3,STH,17,-0.0538,incompSexDistSel
3,STL,18,NaN,incompSexDistSel
3,STM,18,NaN,incompSexDistSel
3,STH,18,-0.3611,incompSexDistSel
3,STL,19,NaN,incompSexDistSel
3,STM,19,NaN,incompSexDistSel
3,STH,19,-0.2405,incompSexDistSel
3,STL,20,NaN,incompSexDistSel
3,STM,20,NaN,incompSexDistSel
3,STH,20,-0.2099,incompSexDistSel
4,STL,1,-1,incompSexDistSel
4,STM,1,-1,incompSexDistSel
4,STH,1,-1,incompSexDistSel
4,STL,2,-0.3936,incompSexDistSel
4,STM,2,-0.4177,incompSexDistSel
4,STH,2,-0.4177,incompSexDistSel
4,STL,3,-0.3243,incompSexDistSel
4,STM,3,-0.2171,incompSexDistSel
4,STH,3,-0.2171,incompSexDistSel
4,STL,4,-0.1011,incompSexDistSel
4,STM,4,-0.1557,incompSexDistSel
4,STH,4,-0.2895,incompSexDistSel
4,STL,5,-0.0426,incompSexDistSel
4,STM,5,-0.1529,incompSexDistSel
4,STH,5,-0.115,incompSexDistSel
4,STL,6,-0.0652,incompSexDistSel
4,STM,6,-0.0889,incompSexDistSel
4,STH,6,-0.2895,incompSexDistSel
4,STL,7,-0.1011,incompSexDistSel
4,STM,7,-0.0538,incompSexDistSel
4,STH,7,-0.225,incompSexDistSel
4,STL,8,-0.0652,incompSexDistSel
4,STM,8,NaN,incompSexDistSel
4,STH,8,-0.1667,incompSexDistSel
4,STL,9,-0.0538,incompSexDistSel
4,STM,9,NaN,incompSexDistSel
4,STH,9,-0.1395,incompSexDistSel
4,STL,10,-0.1264,incompSexDistSel
4,STM,10,NaN,incompSexDistSel
4,STH,10,-0.0769,incompSexDistSel
4,STL,11,-0.0769,incompSexDistSel
4,STM,11,NaN,incompSexDistSel
4,STH,11,-0.0769,incompSexDistSel
4,STL,12,-0.0538,incompSexDistSel
4,STM,12,NaN,incompSexDistSel
4,STH,12,-0.0538,incompSexDistSel
4,STL,13,-0.0426,incompSexDistSel
4,STM,13,NaN,incompSexDistSel
4,STH,13,-0.0652,incompSexDistSel
4,STL,14,-0.0208,incompSexDistSel
4,STM,14,NaN,incompSexDistSel
4,STH,14,-0.0769,incompSexDistSel
4,STL,15,0,incompSexDistSel
4,STM,15,NaN,incompSexDistSel
4,STH,15,-0.0426,incompSexDistSel
4,STL,16,NaN,incompSexDistSel
4,STM,16,NaN,incompSexDistSel
4,STH,16,-0.0889,incompSexDistSel
4,STL,17,NaN,incompSexDistSel
4,STM,17,NaN,incompSexDistSel
4,STH,17,-0.2099,incompSexDistSel
4,STL,18,NaN,incompSexDistSel
4,STM,18,NaN,incompSexDistSel
4,STH,18,-0.1951,incompSexDistSel
4,STL,19,NaN,incompSexDistSel
4,STM,19,NaN,incompSexDistSel
4,STH,19,-0.1264,incompSexDistSel
4,STL,20,NaN,incompSexDistSel
4,STM,20,NaN,incompSexDistSel
4,STH,20,-0.0889,incompSexDistSel
5,STL,1,-1,incompSexDistSel
5,STM,1,-1,incompSexDistSel
5,STH,1,-1,incompSexDistSel
5,STL,2,-0.1488,incompSexDistSel
5,STM,2,-0.5766,incompSexDistSel
5,STH,2,-0.5312,incompSexDistSel
5,STL,3,-0.1571,incompSexDistSel
5,STM,3,-0.3243,incompSexDistSel
5,STH,3,-0.2775,incompSexDistSel
5,STL,4,-0.2405,incompSexDistSel
5,STM,4,-0.1807,incompSexDistSel
5,STH,4,-0.115,incompSexDistSel
5,STL,5,-0.1557,incompSexDistSel
5,STM,5,0.0631,incompSexDistSel
5,STH,5,-0.0889,incompSexDistSel
5,STL,6,-0.1354,incompSexDistSel
5,STM,6,-0.1667,incompSexDistSel
5,STH,6,-0.1529,incompSexDistSel
5,STL,7,-0.1667,incompSexDistSel
5,STM,7,-0.1667,incompSexDistSel
5,STH,7,-0.2099,incompSexDistSel
5,STL,8,-0.053,incompSexDistSel
5,STM,8,-0.0769,incompSexDistSel
5,STH,8,-0.0316,incompSexDistSel
5,STL,9,-0.1529,incompSexDistSel
5,STM,9,-0.0889,incompSexDistSel
5,STH,9,-0.225,incompSexDistSel
5,STL,10,-0.1529,incompSexDistSel
5,STM,10,-0.0316,incompSexDistSel
5,STH,10,-0.1951,incompSexDistSel
5,STL,11,0.0375,incompSexDistSel
5,STM,11,0,incompSexDistSel
5,STH,11,-0.0316,incompSexDistSel
5,STL,12,-0.1807,incompSexDistSel
5,STM,12,0,incompSexDistSel
5,STH,12,-0.0889,incompSexDistSel
5,STL,13,-0.1395,incompSexDistSel
5,STM,13,NaN,incompSexDistSel
5,STH,13,-0.0889,incompSexDistSel
5,STL,14,-0.1136,incompSexDistSel
5,STM,14,NaN,incompSexDistSel
5,STH,14,-0.1395,incompSexDistSel
5,STL,15,-0.1011,incompSexDistSel
5,STM,15,NaN,incompSexDistSel
5,STH,15,-0.1264,incompSexDistSel
5,STL,16,-0.1011,incompSexDistSel
5,STM,16,NaN,incompSexDistSel
5,STH,16,-0.0538,incompSexDistSel
5,STL,17,-0.0769,incompSexDistSel
5,STM,17,NaN,incompSexDistSel
5,STH,17,-0.0316,incompSexDistSel
5,STL,18,-0.0538,incompSexDistSel
5,STM,18,NaN,incompSexDistSel
5,STH,18,-0.0426,incompSexDistSel
5,STL,19,-0.1011,incompSexDistSel
5,STM,19,NaN,incompSexDistSel
5,STH,19,-0.0208,incompSexDistSel
5,STL,20,-0.0316,incompSexDistSel
5,STM,20,NaN,incompSexDistSel
