replicate,pop,gen,odomS,Fis,selModel
2,STM,14,0.91,-0.96,incompODomSexDistSel
2,STH,14,0.91,-0.7971,incompODomSexDistSel
2,STL,15,0.91,-0.9184,incompODomSexDistSel
2,STM,15,0.91,-0.837,incompODomSexDistSel
2,STH,15,0.91,-0.7971,incompODomSexDistSel
2,STL,16,0.91,-0.8785,incompODomSexDistSel
2,STM,16,0.91,-0.8785,incompODomSexDistSel
2,STH,16,0.91,-0.6773,incompODomSexDistSel
2,STL,17,0.91,-0.6347,incompODomSexDistSel
2,STM,17,0.91,-0.837,incompODomSexDistSel
2,STH,17,0.91,-0.84,incompODomSexDistSel
2,STL,18,0.91,-0.8785,incompODomSexDistSel
2,STM,18,0.91,-0.9184,incompODomSexDistSel
2,STH,18,0.91,-0.7818,incompODomSexDistSel
2,STL,19,0.91,-0.8785,incompODomSexDistSel
2,STM,19,0.91,-0.84,incompODomSexDistSel
2,STH,19,0.91,-0.8785,incompODomSexDistSel
2,STL,20,0.91,-0.7586,incompODomSexDistSel
2,STM,20,0.91,-0.837,incompODomSexDistSel
2,STH,20,0.91,-0.8785,incompODomSexDistSel
3,STL,1,0.91,-1,incompODomSexDistSel
3,STM,1,0.91,-1,incompODomSexDistSel
3,STH,1,0.91,-1,incompODomSexDistSel
3,STL,2,0.91,-0.7971,incompODomSexDistSel
3,STM,2,0.91,-0.7586,incompODomSexDistSel
3,STH,2,0.91,-0.7214,incompODomSexDistSel
3,STL,3,0.91,-0.7158,incompODomSexDistSel
3,STM,3,0.91,-0.96,incompODomSexDistSel
3,STH,3,0.91,-0.7971,incompODomSexDistSel
3,STL,4,0.91,-0.837,incompODomSexDistSel
3,STM,4,0.91,-0.7557,incompODomSexDistSel
3,STH,4,0.91,-0.8785,incompODomSexDistSel
3,STL,5,0.91,-0.9216,incompODomSexDistSel
3,STM,5,0.91,-0.96,incompODomSexDistSel
3,STH,5,0.91,-0.8029,incompODomSexDistSel
3,STL,6,0.91,-0.7557,incompODomSexDistSel
3,STM,6,0.91,-0.7158,incompODomSexDistSel
3,STH,6,0.91,-0.7586,incompODomSexDistSel
3,STL,7,0.91,-0.837,incompODomSexDistSel
3,STM,7,0.91,-0.7557,incompODomSexDistSel
3,STH,7,0.91,-0.7158,incompODomSexDistSel
3,STL,8,0.91,-0.8148,incompODomSexDistSel
3,STM,8,0.91,-0.96,incompODomSexDistSel
3,STH,8,0.91,-0.8785,incompODomSexDistSel
3,STL,9,0.91,-0.8846,incompODomSexDistSel
3,STM,9,0.91,-0.8491,incompODomSexDistSel
3,STH,9,0.91,-0.7557,incompODomSexDistSel
3,STL,10,0.91,-0.9184,incompODomSexDistSel
3,STM,10,0.91,-0.8846,incompODomSexDistSel
3,STH,10,0.91,-0.7557,incompODomSexDistSel
3,STL,11,0.91,-0.9216,incompODomSexDistSel
3,STM,11,0.91,-0.7158,incompODomSexDistSel
3,STH,11,0.91,-0.84,incompODomSexDistSel
3,STL,12,0.91,-0.9216,incompODomSexDistSel
3,STM,12,0.91,-0.837,incompODomSexDistSel
3,STH,12,0.91,-0.7971,incompODomSexDistSel
3,STL,13,0.91,-0.837,incompODomSexDistSel
3,STM,13,0.91,-0.8785,incompODomSexDistSel
3,STH,13,0.91,-0.8029,incompODomSexDistSel
3,STL,14,0.91,-0.7971,incompODomSexDistSel
3,STM,14,0.91,-0.7214,incompODomSexDistSel
3,STH,14,0.91,-0.8029,incompODomSexDistSel
3,STL,15,0.91,-0.96,incompODomSexDistSel
3,STM,15,0.91,-0.9184,incompODomSexDistSel
3,STH,15,0.91,-0.7557,incompODomSexDistSel
3,STL,16,0.91,-0.9216,incompODomSexDistSel
3,STM,16,0.91,-0.837,incompODomSexDistSel
3,STH,16,0.91,-0.7158,incompODomSexDistSel
3,STL,17,0.91,-0.64,incompODomSexDistSel
3,STM,17,0.91,-0.7586,incompODomSexDistSel
3,STH,17,0.91,-0.7586,incompODomSexDistSel
3,STL,18,0.91,-0.837,incompODomSexDistSel
3,STM,18,0.91,-0.837,incompODomSexDistSel
3,STH,18,0.91,-0.7672,incompODomSexDistSel
3,STL,19,0.91,-0.8029,incompODomSexDistSel
3,STM,19,0.91,-0.7586,incompODomSexDistSel
3,STH,19,0.91,-0.6773,incompODomSexDistSel
3,STL,20,0.91,-0.8785,incompODomSexDistSel
3,STM,20,0.91,-0.8846,incompODomSexDistSel
3,STH,20,0.91,-0.6773,incompODomSexDistSel
4,STL,1,0.91,-1,incompODomSexDistSel
4,STM,1,0.91,-1,incompODomSexDistSel
4,STH,1,0.91,-1,incompODomSexDistSel
4,STL,2,0.91,-0.9216,incompODomSexDistSel
4,STM,2,0.91,-0.837,incompODomSexDistSel
4,STH,2,0.91,-0.7557,incompODomSexDistSel
4,STL,3,0.91,-0.8785,incompODomSexDistSel
4,STM,3,0.91,-0.7586,incompODomSexDistSel
4,STH,3,0.91,-0.9184,incompODomSexDistSel
4,STL,4,0.91,-0.8785,incompODomSexDistSel
4,STM,4,0.91,-0.9184,incompODomSexDistSel
4,STH,4,0.91,-0.7971,incompODomSexDistSel
4,STL,5,0.91,-0.9184,incompODomSexDistSel
4,STM,5,0.91,-0.7971,incompODomSexDistSel
4,STH,5,0.91,-0.9216,incompODomSexDistSel
4,STL,6,0.91,-0.7971,incompODomSexDistSel
4,STM,6,0.91,-0.9184,incompODomSexDistSel
4,STH,6,0.91,-0.8785,incompODomSexDistSel
4,STL,7,0.91,-0.96,incompODomSexDistSel
4,STM,7,0.91,-0.7971,incompODomSexDistSel
4,STH,7,0.91,-0.8029,incompODomSexDistSel
4,STL,8,0.91,-0.7158,incompODomSexDistSel
4,STM,8,0.91,-0.84,incompODomSexDistSel
4,STH,8,0.91,-0.8785,incompODomSexDistSel
4,STL,9,0.91,-0.7214,incompODomSexDistSel
4,STM,9,0.91,-0.8846,incompODomSexDistSel
4,STH,9,0.91,-0.6855,incompODomSexDistSel
4,STL,10,0.91,-0.8846,incompODomSexDistSel
4,STM,10,0.91,-0.7586,incompODomSexDistSel
4,STH,10,0.91,-0.7214,incompODomSexDistSel
4,STL,11,0.91,-0.84,incompODomSexDistSel
4,STM,11,0.91,-0.7672,incompODomSexDistSel
4,STH,11,0.91,-0.96,incompODomSexDistSel
4,STL,12,0.91,-0.9184,incompODomSexDistSel
4,STM,12,0.91,-0.8846,incompODomSexDistSel
4,STH,12,0.91,-0.8491,incompODomSexDistSel
4,STL,13,0.91,-0.8785,incompODomSexDistSel
4,STM,13,0.91,-0.84,incompODomSexDistSel
4,STH,13,0.91,-0.9184,incompODomSexDistSel
4,STL,14,0.91,-0.7586,incompODomSexDistSel
4,STM,14,0.91,-1,incompODomSexDistSel
4,STH,14,0.91,-0.7971,incompODomSexDistSel
4,STL,15,0.91,-0.7586,incompODomSexDistSel
4,STM,15,0.91,-0.837,incompODomSexDistSel
4,STH,15,0.91,-0.8846,incompODomSexDistSel
4,STL,16,0.91,-0.9216,incompODomSexDistSel
4,STM,16,0.91,-0.96,incompODomSexDistSel
4,STH,16,0.91,-0.8029,incompODomSexDistSel
4,STL,17,0.91,-0.8785,incompODomSexDistSel
4,STM,17,0.91,-0.7971,incompODomSexDistSel
4,STH,17,0.91,-0.8491,incompODomSexDistSel
4,STL,18,0.91,-0.6773,incompODomSexDistSel
4,STM,18,0.91,-0.837,incompODomSexDistSel
4,STH,18,0.91,-0.8846,incompODomSexDistSel
4,STL,19,0.91,-0.8029,incompODomSexDistSel
4,STM,19,0.91,-0.84,incompODomSexDistSel
4,STH,19,0.91,-0.7586,incompODomSexDistSel
4,STL,20,0.91,-0.8785,incompODomSexDistSel
4,STM,20,0.91,-0.7971,incompODomSexDistSel
4,STH,20,0.91,-0.5961,incompODomSexDistSel
5,STL,1,0.91,-1,incompODomSexDistSel
5,STM,1,0.91,-1,incompODomSexDistSel
5,STH,1,0.91,-1,incompODomSexDistSel
5,STL,2,0.91,-0.8785,incompODomSexDistSel
5,STM,2,0.91,-0.7158,incompODomSexDistSel
5,STH,2,0.91,-0.7586,incompODomSexDistSel
5,STL,3,0.91,-0.7971,incompODomSexDistSel
5,STM,3,0.91,-0.6039,incompODomSexDistSel
5,STH,3,0.91,-0.7672,incompODomSexDistSel
5,STL,4,0.91,-0.7672,incompODomSexDistSel
5,STM,4,0.91,-0.7158,incompODomSexDistSel
5,STH,4,0.91,-0.7971,incompODomSexDistSel
5,STL,5,0.91,-0.8491,incompODomSexDistSel
5,STM,5,0.91,-0.9184,incompODomSexDistSel
5,STH,5,0.91,-0.8029,incompODomSexDistSel
5,STL,6,0.91,-0.837,incompODomSexDistSel
5,STM,6,0.91,-0.7672,incompODomSexDistSel
5,STH,6,0.91,-0.96,incompODomSexDistSel
5,STL,7,0.91,-0.7158,incompODomSexDistSel
5,STM,7,0.91,-0.8029,incompODomSexDistSel
5,STH,7,0.91,-0.7557,incompODomSexDistSel
5,STL,8,0.91,-0.84,incompODomSexDistSel
5,STM,8,0.91,-0.84,incompODomSexDistSel
5,STH,8,0.91,-0.9184,incompODomSexDistSel
5,STL,9,0.91,-0.84,incompODomSexDistSel
5,STM,9,0.91,-0.9216,incompODomSexDistSel
5,STH,9,0.91,-0.837,incompODomSexDistSel
5,STL,10,0.91,-0.8785,incompODomSexDistSel
5,STM,10,0.91,-0.84,incompODomSexDistSel
5,STH,10,0.91,-0.9184,incompODomSexDistSel
5,STL,11,0.91,-0.8029,incompODomSexDistSel
5,STM,11,0.91,-0.7214,incompODomSexDistSel
5,STH,11,0.91,-0.7971,incompODomSexDistSel
5,STL,12,0.91,-0.8846,incompODomSexDistSel
5,STM,12,0.91,-0.8846,incompODomSexDistSel
5,STH,12,0.91,-0.7971,incompODomSexDistSel
5,STL,13,0.91,-0.7971,incompODomSexDistSel
5,STM,13,0.91,-0.8785,incompODomSexDistSel
5,STH,13,0.91,-0.8029,incompODomSexDistSel
5,STL,14,0.91,-0.7586,incompODomSexDistSel
5,STM,14,0.91,-0.8785,incompODomSexDistSel
5,STH,14,0.91,-0.837,incompODomSexDistSel
5,STL,15,0.91,-0.7586,incompODomSexDistSel
5,STM,15,0.91,-0.84,incompODomSexDistSel
5,STH,15,0.91,-0.837,incompODomSexDistSel
5,STL,16,0.91,-0.7971,incompODomSexDistSel
5,STM,16,0.91,-0.7586,incompODomSexDistSel
5,STH,16,0.91,-0.837,incompODomSexDistSel
5,STL,17,0.91,-0.7557,incompODomSexDistSel
5,STM,17,0.91,-0.8785,incompODomSexDistSel
5,STH,17,0.91,-0.8029,incompODomSexDistSel
5,STL,18,0.91,-0.837,incompODomSexDistSel
5,STM,18,0.91,-0.9216,incompODomSexDistSel
5,STH,18,0.91,-0.8785,incompODomSexDistSel
5,STL,19,0.91,-0.6745,incompODomSexDistSel
5,STM,19,0.91,-0.6773,incompODomSexDistSel
5,STH,19,0.91,-0.535,incompODomSexDistSel
5,STL,20,0.91,-0.7818,incompODomSexDistSel
5,STM,20,0.91,-0.8846,incompODomSexDistSel
5,STH,20,0.91,-0.9216,incompODomSexDistSel
6,STL,1,0.91,-1,incompODomSexDistSel
6,STM,1,0.91,-1,incompODomSexDistSel
6,STH,1,0.91,-1,incompODomSexDistSel
6,STL,2,0.91,-0.8785,incompODomSexDistSel
6,STM,2,0.91,-0.7971,incompODomSexDistSel
6,STH,2,0.91,-0.7158,incompODomSexDistSel
6,STL,3,0.91,-0.8785,incompODomSexDistSel
6,STM,3,0.91,-0.7586,incompODomSexDistSel
6,STH,3,0.91,-0.8148,incompODomSexDistSel
6,STL,4,0.91,-0.7586,incompODomSexDistSel
6,STM,4,0.91,-0.84,incompODomSexDistSel
