replicate,pop,gen,V4,selModel
3,STM,13,-0.0538,incompSel
3,STH,13,-0.0889,incompSel
3,STL,14,-0.0769,incompSel
3,STM,14,-0.0316,incompSel
3,STH,14,-0.0769,incompSel
3,STL,15,-0.0426,incompSel
3,STM,15,0,incompSel
3,STH,15,-0.0208,incompSel
3,STL,16,-0.0426,incompSel
3,STM,16,-0.0316,incompSel
3,STH,16,-0.0208,incompSel
3,STL,17,-0.0426,incompSel
3,STM,17,-0.0103,incompSel
3,STH,17,-0.0316,incompSel
3,STL,18,-0.0889,incompSel
3,STM,18,NaN,incompSel
3,STH,18,-0.0652,incompSel
3,STL,19,-0.0889,incompSel
3,STM,19,NaN,incompSel
3,STH,19,-0.0889,incompSel
3,STL,20,-0.0769,incompSel
3,STM,20,NaN,incompSel
3,STH,20,-0.1529,incompSel
4,STL,1,-1,incompSel
4,STM,1,-1,incompSel
4,STH,1,-1,incompSel
4,STL,2,-0.4203,incompSel
4,STM,2,-0.5223,incompSel
4,STH,2,-0.4633,incompSel
4,STL,3,-0.3611,incompSel
4,STM,3,-0.3279,incompSel
4,STH,3,-0.225,incompSel
4,STL,4,-0.2727,incompSel
4,STM,4,-0.3469,incompSel
4,STH,4,-0.2405,incompSel
4,STL,5,-0.1354,incompSel
4,STM,5,-0.2405,incompSel
4,STH,5,-0.3611,incompSel
4,STL,6,-0.1951,incompSel
4,STM,6,-0.1667,incompSel
4,STH,6,-0.1354,incompSel
4,STL,7,-0.1667,incompSel
4,STM,7,-0.0769,incompSel
4,STH,7,-0.2727,incompSel
4,STL,8,-0.1395,incompSel
4,STM,8,-0.0426,incompSel
4,STH,8,-0.225,incompSel
4,STL,9,-0.1136,incompSel
4,STM,9,-0.0426,incompSel
4,STH,9,-0.1951,incompSel
4,STL,10,-0.1011,incompSel
4,STM,10,-0.0316,incompSel
4,STH,10,-0.1667,incompSel
4,STL,11,-0.1011,incompSel
4,STM,11,-0.0426,incompSel
4,STH,11,-0.1264,incompSel
4,STL,12,-0.1264,incompSel
4,STM,12,-0.0769,incompSel
4,STH,12,-0.1011,incompSel
4,STL,13,-0.0652,incompSel
4,STM,13,-0.0316,incompSel
4,STH,13,-0.1264,incompSel
4,STL,14,-0.0316,incompSel
4,STM,14,-0.0208,incompSel
4,STH,14,-0.1529,incompSel
4,STL,15,-0.1011,incompSel
4,STM,15,-0.0208,incompSel
4,STH,15,-0.1667,incompSel
4,STL,16,-0.0769,incompSel
4,STM,16,-0.0208,incompSel
4,STH,16,-0.225,incompSel
4,STL,17,-0.0769,incompSel
4,STM,17,-0.0316,incompSel
4,STH,17,-0.1951,incompSel
4,STL,18,-0.0769,incompSel
4,STM,18,-0.0426,incompSel
4,STH,18,-0.1951,incompSel
4,STL,19,-0.0316,incompSel
4,STM,19,-0.0103,incompSel
4,STH,19,-0.1667,incompSel
4,STL,20,-0.0103,incompSel
4,STM,20,-0.0103,incompSel
4,STH,20,-0.1395,incompSel
5,STL,1,-1,incompSel
5,STM,1,-1,incompSel
5,STH,1,-1,incompSel
5,STL,2,-0.4203,incompSel
5,STM,2,-0.5223,incompSel
5,STH,2,-0.4633,incompSel
5,STL,3,-0.3611,incompSel
5,STM,3,-0.3279,incompSel
5,STH,3,-0.225,incompSel
5,STL,4,-0.2727,incompSel
5,STM,4,-0.3469,incompSel
5,STH,4,-0.2405,incompSel
5,STL,5,-0.1354,incompSel
5,STM,5,-0.2405,incompSel
5,STH,5,-0.3611,incompSel
5,STL,6,-0.1951,incompSel
5,STM,6,-0.1667,incompSel
5,STH,6,-0.1354,incompSel
5,STL,7,-0.1667,incompSel
5,STM,7,-0.0769,incompSel
5,STH,7,-0.2727,incompSel
5,STL,8,-0.1395,incompSel
5,STM,8,-0.0426,incompSel
5,STH,8,-0.225,incompSel
5,STL,9,-0.1136,incompSel
5,STM,9,-0.0426,incompSel
5,STH,9,-0.1951,incompSel
5,STL,10,-0.1011,incompSel
5,STM,10,-0.0316,incompSel
5,STH,10,-0.1667,incompSel
5,STL,11,-0.1011,incompSel
5,STM,11,-0.0426,incompSel
5,STH,11,-0.1264,incompSel
5,STL,12,-0.1264,incompSel
5,STM,12,-0.0769,incompSel
5,STH,12,-0.1011,incompSel
5,STL,13,-0.0652,incompSel
5,STM,13,-0.0316,incompSel
5,STH,13,-0.1264,incompSel
5,STL,14,-0.0316,incompSel
5,STM,14,-0.0208,incompSel
5,STH,14,-0.1529,incompSel
5,STL,15,-0.1011,incompSel
5,STM,15,-0.0208,incompSel
5,STH,15,-0.1667,incompSel
5,STL,16,-0.0769,incompSel
5,STM,16,-0.0208,incompSel
5,STH,16,-0.225,incompSel
5,STL,17,-0.0769,incompSel
5,STM,17,-0.0316,incompSel
5,STH,17,-0.1951,incompSel
5,STL,18,-0.0769,incompSel
5,STM,18,-0.0426,incompSel
5,STH,18,-0.1951,incompSel
5,STL,19,-0.0316,incompSel
5,STM,19,-0.0103,incompSel
5,STH,19,-0.1667,incompSel
5,STL,20,-0.0103,incompSel
5,STM,20,-0.0103,incompSel
5,STH,20,-0.1395,incompSel
6,STL,1,-1,incompSel
6,STM,1,-1,incompSel
6,STH,1,-1,incompSel
6,STL,2,-0.3803,incompSel
6,STM,2,-0.661,incompSel
6,STH,2,-0.4678,incompSel
6,STL,3,-0.2171,incompSel
6,STM,3,-0.4627,incompSel
