replicate,pop,gen,disS,H0,selModel
2,STH,16,0.2,0,incompDisSexDistSel
2,STL,17,0.2,0.16,incompDisSexDistSel
2,STM,17,0.2,0.12,incompDisSexDistSel
2,STH,17,0.2,0,incompDisSexDistSel
2,STL,18,0.2,0.12,incompDisSexDistSel
2,STM,18,0.2,0.18,incompDisSexDistSel
2,STH,18,0.2,0,incompDisSexDistSel
2,STL,19,0.2,0.16,incompDisSexDistSel
2,STM,19,0.2,0.2,incompDisSexDistSel
2,STH,19,0.2,0,incompDisSexDistSel
2,STL,20,0.2,0.16,incompDisSexDistSel
2,STM,20,0.2,0.14,incompDisSexDistSel
2,STH,20,0.2,0,incompDisSexDistSel
3,STL,1,0.2,1,incompDisSexDistSel
3,STM,1,0.2,1,incompDisSexDistSel
3,STH,1,0.2,1,incompDisSexDistSel
3,STL,2,0.2,0.66,incompDisSexDistSel
3,STM,2,0.2,0.7,incompDisSexDistSel
3,STH,2,0.2,0.6,incompDisSexDistSel
3,STL,3,0.2,0.52,incompDisSexDistSel
3,STM,3,0.2,0.64,incompDisSexDistSel
3,STH,3,0.2,0.36,incompDisSexDistSel
3,STL,4,0.2,0.46,incompDisSexDistSel
3,STM,4,0.2,0.48,incompDisSexDistSel
3,STH,4,0.2,0.12,incompDisSexDistSel
3,STL,5,0.2,0.28,incompDisSexDistSel
3,STM,5,0.2,0.4,incompDisSexDistSel
3,STH,5,0.2,0.12,incompDisSexDistSel
3,STL,6,0.2,0.36,incompDisSexDistSel
3,STM,6,0.2,0.18,incompDisSexDistSel
3,STH,6,0.2,0.08,incompDisSexDistSel
3,STL,7,0.2,0.26,incompDisSexDistSel
3,STM,7,0.2,0.22,incompDisSexDistSel
3,STH,7,0.2,0.12,incompDisSexDistSel
3,STL,8,0.2,0.24,incompDisSexDistSel
3,STM,8,0.2,0.18,incompDisSexDistSel
3,STH,8,0.2,0.1,incompDisSexDistSel
3,STL,9,0.2,0.26,incompDisSexDistSel
3,STM,9,0.2,0.14,incompDisSexDistSel
3,STH,9,0.2,0.2,incompDisSexDistSel
3,STL,10,0.2,0.24,incompDisSexDistSel
3,STM,10,0.2,0.14,incompDisSexDistSel
3,STH,10,0.2,0.2,incompDisSexDistSel
3,STL,11,0.2,0.12,incompDisSexDistSel
3,STM,11,0.2,0.12,incompDisSexDistSel
3,STH,11,0.2,0.16,incompDisSexDistSel
3,STL,12,0.2,0.06,incompDisSexDistSel
3,STM,12,0.2,0.22,incompDisSexDistSel
3,STH,12,0.2,0.12,incompDisSexDistSel
3,STL,13,0.2,0.06,incompDisSexDistSel
3,STM,13,0.2,0.3,incompDisSexDistSel
3,STH,13,0.2,0.02,incompDisSexDistSel
3,STL,14,0.2,0.02,incompDisSexDistSel
3,STM,14,0.2,0.16,incompDisSexDistSel
3,STH,14,0.2,0,incompDisSexDistSel
3,STL,15,0.2,0.02,incompDisSexDistSel
3,STM,15,0.2,0.2,incompDisSexDistSel
3,STH,15,0.2,0,incompDisSexDistSel
3,STL,16,0.2,0,incompDisSexDistSel
3,STM,16,0.2,0.28,incompDisSexDistSel
3,STH,16,0.2,0,incompDisSexDistSel
3,STL,17,0.2,0,incompDisSexDistSel
3,STM,17,0.2,0.3,incompDisSexDistSel
3,STH,17,0.2,0,incompDisSexDistSel
3,STL,18,0.2,0,incompDisSexDistSel
3,STM,18,0.2,0.24,incompDisSexDistSel
3,STH,18,0.2,0,incompDisSexDistSel
3,STL,19,0.2,0,incompDisSexDistSel
3,STM,19,0.2,0.4,incompDisSexDistSel
3,STH,19,0.2,0,incompDisSexDistSel
3,STL,20,0.2,0,incompDisSexDistSel
3,STM,20,0.2,0.36,incompDisSexDistSel
3,STH,20,0.2,0,incompDisSexDistSel
4,STL,1,0.2,1,incompDisSexDistSel
4,STM,1,0.2,1,incompDisSexDistSel
4,STH,1,0.2,1,incompDisSexDistSel
4,STL,2,0.2,0.62,incompDisSexDistSel
4,STM,2,0.2,0.62,incompDisSexDistSel
4,STH,2,0.2,0.6,incompDisSexDistSel
4,STL,3,0.2,0.46,incompDisSexDistSel
4,STM,3,0.2,0.42,incompDisSexDistSel
4,STH,3,0.2,0.44,incompDisSexDistSel
4,STL,4,0.2,0.46,incompDisSexDistSel
4,STM,4,0.2,0.38,incompDisSexDistSel
4,STH,4,0.2,0.36,incompDisSexDistSel
4,STL,5,0.2,0.44,incompDisSexDistSel
4,STM,5,0.2,0.42,incompDisSexDistSel
4,STH,5,0.2,0.24,incompDisSexDistSel
4,STL,6,0.2,0.56,incompDisSexDistSel
4,STM,6,0.2,0.36,incompDisSexDistSel
4,STH,6,0.2,0.16,incompDisSexDistSel
4,STL,7,0.2,0.44,incompDisSexDistSel
4,STM,7,0.2,0.28,incompDisSexDistSel
4,STH,7,0.2,0.18,incompDisSexDistSel
4,STL,8,0.2,0.26,incompDisSexDistSel
4,STM,8,0.2,0.3,incompDisSexDistSel
4,STH,8,0.2,0.2,incompDisSexDistSel
4,STL,9,0.2,0.18,incompDisSexDistSel
4,STM,9,0.2,0.24,incompDisSexDistSel
4,STH,9,0.2,0.22,incompDisSexDistSel
4,STL,10,0.2,0.12,incompDisSexDistSel
4,STM,10,0.2,0.18,incompDisSexDistSel
4,STH,10,0.2,0.2,incompDisSexDistSel
4,STL,11,0.2,0.06,incompDisSexDistSel
4,STM,11,0.2,0.18,incompDisSexDistSel
4,STH,11,0.2,0.18,incompDisSexDistSel
4,STL,12,0.2,0.1,incompDisSexDistSel
4,STM,12,0.2,0.18,incompDisSexDistSel
4,STH,12,0.2,0.26,incompDisSexDistSel
4,STL,13,0.2,0.14,incompDisSexDistSel
4,STM,13,0.2,0.16,incompDisSexDistSel
4,STH,13,0.2,0.22,incompDisSexDistSel
