replicate,pop,gen,odomS,H0,selModel
3,STM,3,0.2,0.6,incompODomSel
3,STH,3,0.2,0.6,incompODomSel
3,STL,4,0.2,0.6,incompODomSel
3,STM,4,0.2,0.5,incompODomSel
3,STH,4,0.2,0.48,incompODomSel
3,STL,5,0.2,0.52,incompODomSel
3,STM,5,0.2,0.48,incompODomSel
3,STH,5,0.2,0.6,incompODomSel
3,STL,6,0.2,0.38,incompODomSel
3,STM,6,0.2,0.44,incompODomSel
3,STH,6,0.2,0.6,incompODomSel
3,STL,7,0.2,0.4,incompODomSel
3,STM,7,0.2,0.38,incompODomSel
3,STH,7,0.2,0.5,incompODomSel
3,STL,8,0.2,0.32,incompODomSel
3,STM,8,0.2,0.5,incompODomSel
3,STH,8,0.2,0.54,incompODomSel
3,STL,9,0.2,0.3,incompODomSel
3,STM,9,0.2,0.54,incompODomSel
3,STH,9,0.2,0.5,incompODomSel
3,STL,10,0.2,0.26,incompODomSel
3,STM,10,0.2,0.58,incompODomSel
3,STH,10,0.2,0.56,incompODomSel
3,STL,11,0.2,0.24,incompODomSel
3,STM,11,0.2,0.6,incompODomSel
3,STH,11,0.2,0.4,incompODomSel
3,STL,12,0.2,0.24,incompODomSel
3,STM,12,0.2,0.6,incompODomSel
3,STH,12,0.2,0.44,incompODomSel
3,STL,13,0.2,0.38,incompODomSel
3,STM,13,0.2,0.46,incompODomSel
3,STH,13,0.2,0.38,incompODomSel
3,STL,14,0.2,0.4,incompODomSel
3,STM,14,0.2,0.32,incompODomSel
3,STH,14,0.2,0.56,incompODomSel
3,STL,15,0.2,0.3,incompODomSel
3,STM,15,0.2,0.28,incompODomSel
3,STH,15,0.2,0.4,incompODomSel
3,STL,16,0.2,0.24,incompODomSel
3,STM,16,0.2,0.34,incompODomSel
3,STH,16,0.2,0.46,incompODomSel
3,STL,17,0.2,0.36,incompODomSel
3,STM,17,0.2,0.4,incompODomSel
3,STH,17,0.2,0.4,incompODomSel
3,STL,18,0.2,0.32,incompODomSel
3,STM,18,0.2,0.5,incompODomSel
3,STH,18,0.2,0.42,incompODomSel
3,STL,19,0.2,0.34,incompODomSel
3,STM,19,0.2,0.3,incompODomSel
3,STH,19,0.2,0.4,incompODomSel
3,STL,20,0.2,0.54,incompODomSel
3,STM,20,0.2,0.38,incompODomSel
