replicate,pop,gen,V4,selModel
3,STH,19,0.18,incompSel
3,STL,20,0.16,incompSel
3,STM,20,0,incompSel
3,STH,20,0.28,incompSel
4,STL,1,1,incompSel
4,STM,1,1,incompSel
4,STH,1,1,incompSel
4,STL,2,0.6,incompSel
4,STM,2,0.74,incompSel
4,STH,2,0.7,incompSel
4,STL,3,0.54,incompSel
4,STM,3,0.6,incompSel
4,STH,3,0.38,incompSel
4,STL,4,0.44,incompSel
4,STM,4,0.58,incompSel
4,STH,4,0.4,incompSel
4,STL,5,0.38,incompSel
4,STM,5,0.4,incompSel
4,STH,5,0.54,incompSel
4,STL,6,0.34,incompSel
4,STM,6,0.3,incompSel
4,STH,6,0.38,incompSel
4,STL,7,0.3,incompSel
4,STM,7,0.16,incompSel
4,STH,7,0.44,incompSel
4,STL,8,0.26,incompSel
4,STM,8,0.1,incompSel
4,STH,8,0.38,incompSel
4,STL,9,0.22,incompSel
4,STM,9,0.1,incompSel
4,STH,9,0.34,incompSel
4,STL,10,0.2,incompSel
4,STM,10,0.08,incompSel
4,STH,10,0.3,incompSel
4,STL,11,0.2,incompSel
4,STM,11,0.1,incompSel
4,STH,11,0.24,incompSel
4,STL,12,0.24,incompSel
4,STM,12,0.16,incompSel
4,STH,12,0.2,incompSel
4,STL,13,0.14,incompSel
4,STM,13,0.08,incompSel
4,STH,13,0.24,incompSel
4,STL,14,0.08,incompSel
4,STM,14,0.06,incompSel
4,STH,14,0.28,incompSel
4,STL,15,0.2,incompSel
4,STM,15,0.06,incompSel
4,STH,15,0.3,incompSel
4,STL,16,0.16,incompSel
4,STM,16,0.06,incompSel
4,STH,16,0.38,incompSel
4,STL,17,0.16,incompSel
4,STM,17,0.08,incompSel
4,STH,17,0.34,incompSel
4,STL,18,0.16,incompSel
4,STM,18,0.1,incompSel
4,STH,18,0.34,incompSel
4,STL,19,0.08,incompSel
4,STM,19,0.04,incompSel
4,STH,19,0.3,incompSel
4,STL,20,0.04,incompSel
4,STM,20,0.04,incompSel
4,STH,20,0.26,incompSel
5,STL,1,1,incompSel
5,STM,1,1,incompSel
5,STH,1,1,incompSel
5,STL,2,0.6,incompSel
5,STM,2,0.74,incompSel
5,STH,2,0.7,incompSel
5,STL,3,0.54,incompSel
5,STM,3,0.6,incompSel
5,STH,3,0.38,incompSel
5,STL,4,0.44,incompSel
5,STM,4,0.58,incompSel
5,STH,4,0.4,incompSel
5,STL,5,0.38,incompSel
5,STM,5,0.4,incompSel
5,STH,5,0.54,incompSel
5,STL,6,0.34,incompSel
5,STM,6,0.3,incompSel
5,STH,6,0.38,incompSel
5,STL,7,0.3,incompSel
5,STM,7,0.16,incompSel
5,STH,7,0.44,incompSel
5,STL,8,0.26,incompSel
5,STM,8,0.1,incompSel
5,STH,8,0.38,incompSel
5,STL,9,0.22,incompSel
5,STM,9,0.1,incompSel
5,STH,9,0.34,incompSel
5,STL,10,0.2,incompSel
5,STM,10,0.08,incompSel
5,STH,10,0.3,incompSel
5,STL,11,0.2,incompSel
5,STM,11,0.1,incompSel
5,STH,11,0.24,incompSel
5,STL,12,0.24,incompSel
5,STM,12,0.16,incompSel
5,STH,12,0.2,incompSel
5,STL,13,0.14,incompSel
5,STM,13,0.08,incompSel
5,STH,13,0.24,incompSel
5,STL,14,0.08,incompSel
5,STM,14,0.06,incompSel
5,STH,14,0.28,incompSel
5,STL,15,0.2,incompSel
5,STM,15,0.06,incompSel
5,STH,15,0.3,incompSel
5,STL,16,0.16,incompSel
5,STM,16,0.06,incompSel
5,STH,16,0.38,incompSel
5,STL,17,0.16,incompSel
5,STM,17,0.08,incompSel
5,STH,17,0.34,incompSel
5,STL,18,0.16,incompSel
5,STM,18,0.1,incompSel
5,STH,18,0.34,incompSel
5,STL,19,0.08,incompSel
5,STM,19,0.04,incompSel
5,STH,19,0.3,incompSel
5,STL,20,0.04,incompSel
5,STM,20,0.04,incompSel
5,STH,20,0.26,incompSel
6,STL,1,1,incompSel
6,STM,1,1,incompSel
6,STH,1,1,incompSel
6,STL,2,0.64,incompSel
6,STM,2,0.8,incompSel
6,STH,2,0.68,incompSel
6,STL,3,0.46,incompSel
6,STM,3,0.64,incompSel
6,STH,3,0.52,incompSel
6,STL,4,0.38,incompSel
6,STM,4,0.54,incompSel
6,STH,4,0.38,incompSel
6,STL,5,0.32,incompSel
6,STM,5,0.48,incompSel
6,STH,5,0.3,incompSel
6,STL,6,0.28,incompSel
6,STM,6,0.4,incompSel
6,STH,6,0.36,incompSel
6,STL,7,0.14,incompSel
6,STM,7,0.32,incompSel
6,STH,7,0.22,incompSel
6,STL,8,0.14,incompSel
6,STM,8,0.3,incompSel
6,STH,8,0.24,incompSel
6,STL,9,0.1,incompSel
6,STM,9,0.24,incompSel
6,STH,9,0.2,incompSel
6,STL,10,0.14,incompSel
6,STM,10,0.26,incompSel
6,STH,10,0.14,incompSel
6,STL,11,0.14,incompSel
6,STM,11,0.12,incompSel
6,STH,11,0.24,incompSel
6,STL,12,0.1,incompSel
6,STM,12,0.08,incompSel
6,STH,12,0.26,incompSel
6,STL,13,0.1,incompSel
6,STM,13,0.06,incompSel
6,STH,13,0.22,incompSel
6,STL,14,0.1,incompSel
6,STM,14,0.1,incompSel
6,STH,14,0.26,incompSel
6,STL,15,0.16,incompSel
6,STM,15,0.1,incompSel
6,STH,15,0.24,incompSel
6,STL,16,0.08,incompSel
6,STM,16,0.16,incompSel
6,STH,16,0.32,incompSel
6,STL,17,0.04,incompSel
6,STM,17,0.16,incompSel
6,STH,17,0.24,incompSel
6,STL,18,0.02,incompSel
6,STM,18,0.2,incompSel
6,STH,18,0.18,incompSel
6,STL,19,0.02,incompSel
6,STM,19,0.1,incompSel
6,STH,19,0.14,incompSel
6,STL,20,0.02,incompSel
6,STM,20,0.08,incompSel
6,STH,20,0.12,incompSel
7,STL,1,1,incompSel
7,STM,1,1,incompSel
7,STH,1,1,incompSel
7,STL,2,0.74,incompSel
7,STM,2,0.66,incompSel
7,STH,2,0.68,incompSel
7,STL,3,0.44,incompSel
7,STM,3,0.44,incompSel
7,STH,3,0.58,incompSel
7,STL,4,0.44,incompSel
7,STM,4,0.3,incompSel
7,STH,4,0.56,incompSel
7,STL,5,0.28,incompSel
7,STM,5,0.34,incompSel
7,STH,5,0.46,incompSel
7,STL,6,0.18,incompSel
7,STM,6,0.34,incompSel
7,STH,6,0.34,incompSel
7,STL,7,0.06,incompSel
7,STM,7,0.32,incompSel
7,STH,7,0.2,incompSel
7,STL,8,0.02,incompSel
7,STM,8,0.42,incompSel
7,STH,8,0.36,incompSel
7,STL,9,0.04,incompSel
7,STM,9,0.52,incompSel
7,STH,9,0.34,incompSel
7,STL,10,0.04,incompSel
7,STM,10,0.46,incompSel
7,STH,10,0.32,incompSel
7,STL,11,0.04,incompSel
7,STM,11,0.34,incompSel
7,STH,11,0.24,incompSel
7,STL,12,0.04,incompSel
7,STM,12,0.22,incompSel
7,STH,12,0.18,incompSel
7,STL,13,0.08,incompSel
7,STM,13,0.22,incompSel
7,STH,13,0.16,incompSel
7,STL,14,0.06,incompSel
7,STM,14,0.22,incompSel
7,STH,14,0.24,incompSel
7,STL,15,0.02,incompSel
7,STM,15,0.22,incompSel
7,STH,15,0.28,incompSel
7,STL,16,0.04,incompSel
7,STM,16,0.2,incompSel
7,STH,16,0.32,incompSel
7,STL,17,0,incompSel
7,STM,17,0.1,incompSel
7,STH,17,0.22,incompSel
7,STL,18,0,incompSel
7,STM,18,0.1,incompSel
7,STH,18,0.2,incompSel
7,STL,19,0,incompSel
7,STM,19,0.08,incompSel
7,STH,19,0.28,incompSel
7,STL,20,0,incompSel
7,STM,20,0.1,incompSel
7,STH,20,0.22,incompSel
8,STL,1,1,incompSel
8,STM,1,1,incompSel
8,STH,1,1,incompSel
8,STL,2,0.86,incompSel
8,STM,2,0.58,incompSel
8,STH,2,0.62,incompSel
8,STL,3,0.62,incompSel
8,STM,3,0.44,incompSel
