replicate,pop,gen,prefS,H0,selModel
1,STL,1,0.91,1,disAltLocusPref
1,STM,1,0.91,1,disAltLocusPref
1,STH,1,0.91,1,disAltLocusPref
1,STL,2,0.91,0.56,disAltLocusPref
1,STM,2,0.91,0.58,disAltLocusPref
1,STH,2,0.91,0.78,disAltLocusPref
1,STL,3,0.91,0.46,disAltLocusPref
1,STM,3,0.91,0.48,disAltLocusPref
1,STH,3,0.91,0.62,disAltLocusPref
1,STL,4,0.91,0.38,disAltLocusPref
1,STM,4,0.91,0.26,disAltLocusPref
1,STH,4,0.91,0.48,disAltLocusPref
1,STL,5,0.91,0.3,disAltLocusPref
1,STM,5,0.91,0.26,disAltLocusPref
1,STH,5,0.91,0.32,disAltLocusPref
1,STL,6,0.91,0.24,disAltLocusPref
1,STM,6,0.91,0.22,disAltLocusPref
1,STH,6,0.91,0.24,disAltLocusPref
1,STL,7,0.91,0.12,disAltLocusPref
1,STM,7,0.91,0.22,disAltLocusPref
1,STH,7,0.91,0.24,disAltLocusPref
1,STL,8,0.91,0.06,disAltLocusPref
1,STM,8,0.91,0.22,disAltLocusPref
1,STH,8,0.91,0.22,disAltLocusPref
1,STL,9,0.91,0,disAltLocusPref
1,STM,9,0.91,0.08,disAltLocusPref
1,STH,9,0.91,0.18,disAltLocusPref
1,STL,10,0.91,0,disAltLocusPref
1,STM,10,0.91,0.02,disAltLocusPref
1,STH,10,0.91,0.2,disAltLocusPref
1,STL,11,0.91,0,disAltLocusPref
1,STM,11,0.91,0,disAltLocusPref
1,STH,11,0.91,0.22,disAltLocusPref
1,STL,12,0.91,0,disAltLocusPref
1,STM,12,0.91,0,disAltLocusPref
1,STH,12,0.91,0.3,disAltLocusPref
1,STL,13,0.91,0,disAltLocusPref
1,STM,13,0.91,0,disAltLocusPref
1,STH,13,0.91,0.36,disAltLocusPref
1,STL,14,0.91,0,disAltLocusPref
1,STM,14,0.91,0,disAltLocusPref
1,STH,14,0.91,0.32,disAltLocusPref
1,STL,15,0.91,0,disAltLocusPref
1,STM,15,0.91,0,disAltLocusPref
1,STH,15,0.91,0.48,disAltLocusPref
1,STL,16,0.91,0,disAltLocusPref
1,STM,16,0.91,0,disAltLocusPref
1,STH,16,0.91,0.42,disAltLocusPref
1,STL,17,0.91,0,disAltLocusPref
1,STM,17,0.91,0,disAltLocusPref
1,STH,17,0.91,0.32,disAltLocusPref
1,STL,18,0.91,0,disAltLocusPref
1,STM,18,0.91,0,disAltLocusPref
1,STH,18,0.91,0.26,disAltLocusPref
1,STL,19,0.91,0,disAltLocusPref
