replicate,pop,gen,prefS,H0,selModel
2,STL,20,0.4,0.12,hetGenWidePref
2,STM,20,0.4,0,hetGenWidePref
2,STH,20,0.4,0.2,hetGenWidePref
3,STL,1,0.4,1,hetGenWidePref
3,STM,1,0.4,1,hetGenWidePref
3,STH,1,0.4,1,hetGenWidePref
3,STL,2,0.4,0.7,hetGenWidePref
3,STM,2,0.4,0.64,hetGenWidePref
3,STH,2,0.4,0.72,hetGenWidePref
3,STL,3,0.4,0.58,hetGenWidePref
3,STM,3,0.4,0.38,hetGenWidePref
3,STH,3,0.4,0.64,hetGenWidePref
3,STL,4,0.4,0.58,hetGenWidePref
3,STM,4,0.4,0.3,hetGenWidePref
3,STH,4,0.4,0.5,hetGenWidePref
3,STL,5,0.4,0.48,hetGenWidePref
3,STM,5,0.4,0.32,hetGenWidePref
3,STH,5,0.4,0.4,hetGenWidePref
3,STL,6,0.4,0.36,hetGenWidePref
3,STM,6,0.4,0.42,hetGenWidePref
3,STH,6,0.4,0.16,hetGenWidePref
3,STL,7,0.4,0.26,hetGenWidePref
3,STM,7,0.4,0.46,hetGenWidePref
3,STH,7,0.4,0.08,hetGenWidePref
3,STL,8,0.4,0.24,hetGenWidePref
3,STM,8,0.4,0.36,hetGenWidePref
3,STH,8,0.4,0.1,hetGenWidePref
3,STL,9,0.4,0.22,hetGenWidePref
3,STM,9,0.4,0.42,hetGenWidePref
3,STH,9,0.4,0.06,hetGenWidePref
3,STL,10,0.4,0.06,hetGenWidePref
3,STM,10,0.4,0.32,hetGenWidePref
3,STH,10,0.4,0.06,hetGenWidePref
3,STL,11,0.4,0.06,hetGenWidePref
3,STM,11,0.4,0.38,hetGenWidePref
3,STH,11,0.4,0.08,hetGenWidePref
3,STL,12,0.4,0.06,hetGenWidePref
3,STM,12,0.4,0.3,hetGenWidePref
3,STH,12,0.4,0.06,hetGenWidePref
3,STL,13,0.4,0.02,hetGenWidePref
3,STM,13,0.4,0.32,hetGenWidePref
3,STH,13,0.4,0.08,hetGenWidePref
3,STL,14,0.4,0.06,hetGenWidePref
3,STM,14,0.4,0.28,hetGenWidePref
3,STH,14,0.4,0.06,hetGenWidePref
3,STL,15,0.4,0.12,hetGenWidePref
3,STM,15,0.4,0.3,hetGenWidePref
3,STH,15,0.4,0.1,hetGenWidePref
3,STL,16,0.4,0.16,hetGenWidePref
3,STM,16,0.4,0.2,hetGenWidePref
3,STH,16,0.4,0.12,hetGenWidePref
3,STL,17,0.4,0.12,hetGenWidePref
3,STM,17,0.4,0.18,hetGenWidePref
3,STH,17,0.4,0.02,hetGenWidePref
3,STL,18,0.4,0.1,hetGenWidePref
3,STM,18,0.4,0.18,hetGenWidePref
3,STH,18,0.4,0,hetGenWidePref
3,STL,19,0.4,0.1,hetGenWidePref
3,STM,19,0.4,0.18,hetGenWidePref
3,STH,19,0.4,0,hetGenWidePref
3,STL,20,0.4,0.14,hetGenWidePref
3,STM,20,0.4,0.16,hetGenWidePref
3,STH,20,0.4,0,hetGenWidePref
4,STL,1,0.4,1,hetGenWidePref
4,STM,1,0.4,1,hetGenWidePref
4,STH,1,0.4,1,hetGenWidePref
4,STL,2,0.4,0.6,hetGenWidePref
4,STM,2,0.4,0.64,hetGenWidePref
4,STH,2,0.4,0.56,hetGenWidePref
4,STL,3,0.4,0.52,hetGenWidePref
4,STM,3,0.4,0.58,hetGenWidePref
4,STH,3,0.4,0.38,hetGenWidePref
4,STL,4,0.4,0.32,hetGenWidePref
4,STM,4,0.4,0.4,hetGenWidePref
4,STH,4,0.4,0.12,hetGenWidePref
4,STL,5,0.4,0.18,hetGenWidePref
4,STM,5,0.4,0.38,hetGenWidePref
4,STH,5,0.4,0.14,hetGenWidePref
4,STL,6,0.4,0.22,hetGenWidePref
4,STM,6,0.4,0.28,hetGenWidePref
4,STH,6,0.4,0.08,hetGenWidePref
4,STL,7,0.4,0.32,hetGenWidePref
4,STM,7,0.4,0.2,hetGenWidePref
4,STH,7,0.4,0.06,hetGenWidePref
4,STL,8,0.4,0.24,hetGenWidePref
4,STM,8,0.4,0.22,hetGenWidePref
4,STH,8,0.4,0.04,hetGenWidePref
4,STL,9,0.4,0.24,hetGenWidePref
4,STM,9,0.4,0.22,hetGenWidePref
4,STH,9,0.4,0.02,hetGenWidePref
4,STL,10,0.4,0.16,hetGenWidePref
4,STM,10,0.4,0.28,hetGenWidePref
4,STH,10,0.4,0,hetGenWidePref
4,STL,11,0.4,0.16,hetGenWidePref
4,STM,11,0.4,0.24,hetGenWidePref
4,STH,11,0.4,0,hetGenWidePref
4,STL,12,0.4,0.1,hetGenWidePref
4,STM,12,0.4,0.16,hetGenWidePref
4,STH,12,0.4,0,hetGenWidePref
4,STL,13,0.4,0.04,hetGenWidePref
4,STM,13,0.4,0.28,hetGenWidePref
4,STH,13,0.4,0,hetGenWidePref
4,STL,14,0.4,0.02,hetGenWidePref
4,STM,14,0.4,0.32,hetGenWidePref
4,STH,14,0.4,0,hetGenWidePref
4,STL,15,0.4,0.06,hetGenWidePref
4,STM,15,0.4,0.26,hetGenWidePref
4,STH,15,0.4,0,hetGenWidePref
4,STL,16,0.4,0.04,hetGenWidePref
4,STM,16,0.4,0.28,hetGenWidePref
4,STH,16,0.4,0,hetGenWidePref
4,STL,17,0.4,0.04,hetGenWidePref
4,STM,17,0.4,0.24,hetGenWidePref
4,STH,17,0.4,0,hetGenWidePref
4,STL,18,0.4,0.02,hetGenWidePref
4,STM,18,0.4,0.28,hetGenWidePref
4,STH,18,0.4,0,hetGenWidePref
4,STL,19,0.4,0.02,hetGenWidePref
4,STM,19,0.4,0.12,hetGenWidePref
4,STH,19,0.4,0,hetGenWidePref
4,STL,20,0.4,0.06,hetGenWidePref
4,STM,20,0.4,0.24,hetGenWidePref
4,STH,20,0.4,0,hetGenWidePref
5,STL,1,0.4,1,hetGenWidePref
